specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
C:/Users/Billy/Documents/BillyJessExploratory/04232025/LH10-3020/E230M\E230M20\oda912020_continuumfit.fits|1608.4511|0.0009|15.336|0.037|16.49|1.985|1.915|1.367|2|2|2|-25.6088|25.6088|1609.754425092221|1610.0292185463627|113|123|0.0009|FeII|none|--|./modified_component_groups\input_group_0.VP
C:/Users/Billy/Documents/BillyJessExploratory/04232025/LH10-3020/E230M\E230M20\oda912020_continuumfit.fits|1611.2005|0.0009|15.336|0.0|16.49|0.0|1.915|0.0|2|2|2|-25.6088|25.6088|1612.5060529261964|1612.7813160975231|217|227|0.0009|FeII|none|--|./modified_component_groups\input_group_0.VP
C:/Users/Billy/Documents/BillyJessExploratory/04232025/LH10-3020/E230M\E230M20\oda912020_continuumfit.fits|2249.8768|0.0009|15.336|0.0|16.49|0.0|1.915|0.0|2|2|2|-25.6088|25.6088|2251.6998712067316|2252.08424808786|36616|36637|0.0009|FeII|none|--|./modified_component_groups\input_group_0.VP
C:/Users/Billy/Documents/BillyJessExploratory/04232025/LH10-3020/E230M\E230M20\oda912020_continuumfit.fits|2260.7805|0.0009|15.336|0.0|16.49|0.0|1.915|0.0|2|2|2|-25.6088|25.6088|2262.6124064556293|2262.9986461632902|37208|37219|0.0009|FeII|none|--|./modified_component_groups\input_group_0.VP
C:/Users/Billy/Documents/BillyJessExploratory/04232025/LH10-3020/E230M\E230M20\oda912020_continuumfit.fits|1703.4119|0.00097|14.306|0.091|15.0|4.639|-7.217|2.878|2|2|2|-10.4332|10.4332|1704.9969564407736|1705.1155187098423|6918|6926|0.00094|NiII|none|--|./modified_component_groups\input_group_1.VP
C:/Users/Billy/Documents/BillyJessExploratory/04232025/LH10-3020/E230M\E230M20\oda912020_continuumfit.fits|1709.6042|0.00097|14.306|0.0|15.0|0.0|-7.217|0.0|2|2|2|-10.4332|10.4332|1711.1950184910434|1711.3140117616442|7363|7372|0.00094|NiII|none|--|./modified_component_groups\input_group_1.VP
C:/Users/Billy/Documents/BillyJessExploratory/04232025/LH10-3020/E230M\E230M20\oda912020_continuumfit.fits|1741.5531|0.00097|14.306|0.0|15.0|0.0|-7.217|0.0|2|2|2|-10.4332|10.4332|1743.1736475364498|1743.2948645405343|9611|9620|0.00094|NiII|none|--|./modified_component_groups\input_group_1.VP
C:/Users/Billy/Documents/BillyJessExploratory/04232025/LH10-3020/E230M\E230M20\oda912020_continuumfit.fits|1751.9157|0.00097|14.306|0.0|15.0|0.0|-7.217|0.0|2|2|2|-10.4332|10.4332|1753.545890128399|1753.667828398649|10313|10322|0.00094|NiII|none|--|./modified_component_groups\input_group_1.VP
C:/Users/Billy/Documents/BillyJessExploratory/04232025/LH10-3020/E230M\E230M20\oda912020_continuumfit.fits|1808.0129|0.00078|15.547|0.145|15.0|10.215|18.59|6.451|2|2|2|-11.3817|11.3817|1809.3520856365233|1809.4893690129045|13964|13974|0.00084|SiII|none|--|./modified_component_groups\input_group_2.VP
C:/Users/Billy/Documents/BillyJessExploratory/04232025/LH10-3020/E230M\E230M20\oda912020_continuumfit.fits|2062.664|0.00093|13.696|1.006|6.142|4.998|2.751|1.61|2|2|2|-18.021|18.021|2064.452842083449|2064.700822090631|28219|28226|0.00094|ZnII|none|--|./modified_component_groups\input_group_3.VP
C:/Users/Billy/Documents/BillyJessExploratory/04232025/LH10-3020/E230M\E230M20\oda912020_continuumfit.fits|2062.664|0.00093|14.055|11.66|5.031|21.318|0.283|3.309|2|2|2|-16.1241|16.1241|2064.467481588145|2064.689359088495|28220|28226|0.00093|ZnII|none|--|./modified_component_groups\input_group_4.VP
