specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1133.66540|0.00001695|14.4317|38.1317|0.0000|2|2|2|-66.8449|66.8449|1133.43186|1133.93742|0.00001695|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1142.36560|0.00001695|14.4317|38.1317|0.0000|2|2|2|-66.8449|66.8449|1142.13027|1142.63970|0.00001695|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1143.22600|0.00001695|14.4317|38.1317|0.0000|2|2|2|-66.8449|66.8449|1142.99049|1143.50031|0.00001695|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1144.93790|0.00001695|14.4317|38.1317|0.0000|2|2|2|-66.8449|66.8449|1144.70204|1145.21262|0.00001695|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1260.53300|0.00001695|14.4317|38.1317|0.0000|2|2|2|-66.8449|66.8449|1260.27333|1260.83546|0.00001695|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1250.57800|0.00088653|15.8166|32.9268|0.0000|3|3|3|-60.1604|60.1604|1251.43552|1251.93788|0.00088653|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1253.80500|0.00088653|15.8166|32.9268|0.0000|3|3|3|-60.1604|60.1604|1254.66473|1255.16839|0.00088653|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1259.51800|0.00088653|15.8166|32.9268|0.0000|3|3|3|-60.1604|60.1604|1260.38165|1260.88760|0.00088653|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1133.66540|0.00089768|15.2025|35.2397|0.0000|4|4|4|-66.8449|66.8449|1134.43010|1134.93610|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1142.36560|0.00089768|15.2025|35.2397|0.0000|4|4|4|-66.8449|66.8449|1143.13616|1143.64605|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1143.22600|0.00089768|15.2025|35.2397|0.0000|4|4|4|-66.8449|66.8449|1143.99714|1144.50741|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1144.93790|0.00089768|15.2025|35.2397|0.0000|4|4|4|-66.8449|66.8449|1145.71020|1146.22123|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 114/G130M_1291_LP5_2072.416_16812/lf2t2c010/lf2t2c010_continuumfit.fits|1260.53300|0.00089768|15.2025|35.2397|0.0000|4|4|4|-66.8449|66.8449|1261.38327|1261.94590|0.00089768|FeII|none|
