specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1239.9253|0.00092|16.447|0.014|17.229|0.859|-3.958|0.516|2|2|2|-36.7647|36.7647|1240.9139496779967|1241.2180632769914|11713|11744|0.00091|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1240.3947|0.00092|16.447|0.0|17.229|0.0|-3.958|0.0|2|2|2|-36.7647|36.7647|1241.3837239522848|1241.6879526799273|11760|11791|0.00091|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1250.578|7e-05|15.326|0.015|15.566|0.572|-3.935|0.347|2|2|2|-40.107|40.107|1250.5015989989288|1250.8362100307115|12675|12709|6e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1253.805|7e-05|15.326|0.0|15.566|0.0|-3.935|0.0|2|2|2|-40.107|40.107|1253.7284018532648|1254.0638763176357|12999|13032|6e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1317.217|0.00093|14.041|0.013|27.979|1.371|-5.976|0.881|2|2|2|-60.1604|60.1604|1318.1791697275592|1318.7078308028606|20473|20526|0.00091|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1370.132|0.00093|14.041|0.0|27.979|0.0|-5.976|0.0|2|2|2|-60.1604|60.1604|1371.132821833578|1371.6827201847418|25785|25840|0.00091|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1142.3656|7e-05|14.491|0.019|19.57|1.067|-18.889|0.731|2|2|2|-68.516|68.516|1142.1811824658641|1142.7033458449682|1808|1861|0.0|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1143.226|7e-05|14.491|0.0|19.57|0.0|-18.889|0.0|2|2|2|-68.516|68.516|1143.0414435673833|1143.564000226337|1895|1947|0.0|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1144.9379|7e-05|14.491|0.0|19.57|0.0|-18.889|0.0|2|2|2|-68.516|68.516|1144.753067207191|1145.276406357747|2066|2119|0.0|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1142.3656|0.0009|15.485|0.016|21.72|0.358|-3.836|0.367|3|3|3|-63.5027|63.5027|1143.1491003495792|1143.633057154037|1905|1954|0.00088|FeII|none|--|./modified_component_groups/input_group_0.VP
