specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1133.66540|0.00006711|15.0038|29.5749|0.0000|2|2|2|-68.5160|68.5160|1133.48240|1134.00063|0.00006711|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1142.36560|0.00006711|15.0038|29.5749|0.0000|2|2|2|-68.5160|68.5160|1142.18120|1142.70340|0.00006711|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1143.22600|0.00006711|15.0038|29.5749|0.0000|2|2|2|-68.5160|68.5160|1143.04146|1143.56405|0.00006711|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1144.93790|0.00006711|15.0038|29.5749|0.0000|2|2|2|-68.5160|68.5160|1144.75308|1145.27646|0.00006711|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1260.53300|0.00006711|15.0038|29.5749|0.0000|2|2|2|-68.5160|68.5160|1260.32952|1260.90574|0.00006711|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1133.66540|0.00089768|15.1762|31.7229|0.0000|3|3|3|-63.5027|63.5027|1134.44274|1134.92345|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1142.36560|0.00089768|15.1762|31.7229|0.0000|3|3|3|-63.5027|63.5027|1143.14891|1143.63330|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1143.22600|0.00089768|15.1762|31.7229|0.0000|3|3|3|-63.5027|63.5027|1144.00990|1144.49465|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1144.93790|0.00089768|15.1762|31.7229|0.0000|3|3|3|-63.5027|63.5027|1145.72297|1146.20845|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1260.53300|0.00089768|15.1762|31.7229|0.0000|3|3|3|-63.5027|63.5027|1261.39733|1261.93183|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1250.57800|0.00092555|15.8235|34.6363|0.0000|4|4|4|-81.8850|81.8850|1251.39362|1252.07742|0.00092555|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1253.80500|0.00092555|15.8235|34.6363|0.0000|4|4|4|-81.8850|81.8850|1254.62273|1255.30829|0.00092555|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 25/G130M_1291_LP5_2054.400_16810/leuj2c010/leuj2c010_continuumfit.fits|1259.51800|0.00092555|15.8235|34.6363|0.0000|4|4|4|-81.8850|81.8850|1260.33945|1261.02814|0.00092555|SII|none|
