specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1239.9253|0.0009|16.353|0.018|19.067|1.347|-5.733|0.832|2|2|2|-40.107|40.107|1240.872475772801|1241.2042365138075|11709|11742|0.00088|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1240.3947|0.0009|16.353|0.0|19.067|0.0|-5.733|0.0|2|2|2|-40.107|40.107|1241.342234346263|1241.674120682329|11756|11789|0.00088|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1250.578|4e-05|15.597|0.07|9.469|0.589|-2.718|0.335|2|2|2|-38.4358|38.4358|1250.4737167660917|1250.7943850458282|12672|12704|4e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1253.805|4e-05|15.597|0.0|9.469|0.0|-2.718|0.0|2|2|2|-38.4358|38.4358|1253.700447672924|1254.0219434072762|12996|13028|4e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1317.217|0.00089|14.097|0.014|21.46|1.219|-3.37|0.74|2|2|2|-35.0936|35.0936|1318.2379094977814|1318.5462954179584|20478|20509|0.00088|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1370.132|0.00089|14.097|0.0|21.46|0.0|-3.37|0.0|2|2|2|-35.0936|35.0936|1371.193921287088|1371.5146956299518|25791|25823|0.00088|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1142.3656|1e-05|14.98|0.029|24.14|2.234|9.753|1.457|2|2|2|-48.4626|48.4626|1142.1939209187167|1142.5632564750272|1810|1847|4e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1143.226|1e-05|14.98|0.0|24.14|0.0|9.753|0.0|2|2|2|-48.4626|48.4626|1143.0541916145066|1143.4238053447334|1896|1933|4e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1142.3656|0.00086|15.31|0.021|26.41|1.275|-5.702|0.771|3|3|3|-53.4759|53.4759|1143.1490955570096|1143.5566376879663|1905|1946|0.00085|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1143.226|0.00086|15.31|0.0|26.41|0.0|-5.702|0.0|3|3|3|-53.4759|53.4759|1144.0100856654453|1144.4179347465147|1992|2033|0.00085|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1250.578|0.0009|15.998|0.024|23.838|0.529|-1.299|0.31|4|4|4|-50.1337|50.1337|1251.4914871727497|1251.9097505453303|12774|12816|0.00089|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1253.805|0.0009|15.998|0.0|23.838|0.0|-1.299|0.0|4|4|4|-50.1337|50.1337|1254.7208443412803|1255.14018700352|13098|13140|0.00089|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1152.818|0.00085|14.16|0.02|25.39|1.22|-2.53|0.738|2|2|2|-56.8182|56.8182|1153.582969543898|1154.0199454713418|2952|2996|0.00084|P II|none|--|./modified_component_groups/input_group_1.VP
