specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1133.66540|0.00001137|15.0008|28.2784|0.0000|2|2|2|-48.4626|48.4626|1133.49504|1133.86157|0.00001137|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1142.36560|0.00001137|15.0008|28.2784|0.0000|2|2|2|-48.4626|48.4626|1142.19394|1142.56328|0.00001137|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1143.22600|0.00001137|15.0008|28.2784|0.0000|2|2|2|-48.4626|48.4626|1143.05421|1143.42382|0.00001137|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1144.93790|0.00001137|15.0008|28.2784|0.0000|2|2|2|-48.4626|48.4626|1144.76585|1145.13602|0.00001137|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1260.53300|0.00001137|15.0008|28.2784|0.0000|2|2|2|-48.4626|48.4626|1260.34358|1260.75112|0.00001137|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1133.66540|0.00086423|15.1793|32.8285|0.0000|3|3|3|-53.4759|53.4759|1134.44278|1134.84756|0.00086423|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1142.36560|0.00086423|15.1793|32.8285|0.0000|3|3|3|-53.4759|53.4759|1143.14894|1143.55684|0.00086423|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1143.22600|0.00086423|15.1793|32.8285|0.0000|3|3|3|-53.4759|53.4759|1144.00993|1144.41813|0.00086423|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1144.93790|0.00086423|15.1793|32.8285|0.0000|3|3|3|-53.4759|53.4759|1145.72301|1146.13182|0.00086423|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1260.53300|0.00086423|15.1793|32.8285|0.0000|3|3|3|-53.4759|53.4759|1261.39737|1261.84746|0.00086423|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1250.57800|0.00089768|15.8084|28.2615|0.0000|4|4|4|-50.1337|50.1337|1251.49132|1251.90996|0.00089768|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1253.80500|0.00089768|15.8084|28.2615|0.0000|4|4|4|-50.1337|50.1337|1254.72067|1255.14039|0.00089768|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G130M_1291_LP5_4774.368_16815/lf1n2c010/lf1n2c010_continuumfit.fits|1259.51800|0.00089768|15.8084|28.2615|0.0000|4|4|4|-50.1337|50.1337|1260.43785|1260.85948|0.00089768|SII|none|
