specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G160M_1611_LP6_4410.784_16815/lf1n2d010/lf1n2d010_continuumfit.fits|1454.84200|0.00089768|14.1158|31.3931|0.0000|2|2|2|-30.0802|30.0802|1456.00188|1456.29409|0.00089768|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G160M_1611_LP6_4410.784_16815/lf1n2d010/lf1n2d010_continuumfit.fits|1467.25900|0.00089768|14.1158|31.3931|0.0000|2|2|2|-30.0802|30.0802|1468.42878|1468.72349|0.00089768|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G160M_1611_LP6_4410.784_16815/lf1n2d010/lf1n2d010_continuumfit.fits|1467.75600|0.00089768|14.1158|31.3931|0.0000|2|2|2|-30.0802|30.0802|1468.92618|1469.22098|0.00089768|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G160M_1611_LP6_4410.784_16815/lf1n2d010/lf1n2d010_continuumfit.fits|1703.41190|0.00089768|14.1158|31.3931|0.0000|2|2|2|-30.0802|30.0802|1704.76996|1705.11210|0.00089768|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G160M_1611_LP6_4410.784_16815/lf1n2d010/lf1n2d010_continuumfit.fits|1709.60420|0.00089768|14.1158|31.3931|0.0000|2|2|2|-30.0802|30.0802|1710.96720|1711.31058|0.00089768|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G160M_1611_LP6_4410.784_16815/lf1n2d010/lf1n2d010_continuumfit.fits|1741.55310|0.00089768|14.1158|31.3931|0.0000|2|2|2|-30.0802|30.0802|1742.94157|1743.29136|0.00089768|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G160M_1611_LP6_4410.784_16815/lf1n2d010/lf1n2d010_continuumfit.fits|1751.91570|0.00089768|14.1158|31.3931|0.0000|2|2|2|-30.0802|30.0802|1753.31243|1753.66431|0.00089768|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G160M_1611_LP6_4410.784_16815/lf1n2d010/lf1n2d010_continuumfit.fits|1772.28000|0.00089768|14.1158|31.3931|0.0000|2|2|2|-30.0802|30.0802|1773.69296|1774.04893|0.00089768|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G160M_1611_LP6_4410.784_16815/lf1n2d010/lf1n2d010_continuumfit.fits|1773.94900|0.00089768|14.1158|31.3931|0.0000|2|2|2|-30.0802|30.0802|1775.36330|1775.71960|0.00089768|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 55/G160M_1611_LP6_4410.784_16815/lf1n2d010/lf1n2d010_continuumfit.fits|1783.31800|0.00089768|14.1158|31.3931|0.0000|2|2|2|-30.0802|30.0802|1784.73976|1785.09795|0.00089768|NiII|none|
