specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1239.9253|0.00091|16.351|0.012|30.671|1.35|-6.04|0.971|2|2|2|-46.7914|46.7914|1240.8586546250733|1241.2457079957248|11656|11695|0.00089|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1240.3947|0.00091|16.351|0.0|30.671|0.0|-6.04|0.0|2|2|2|-46.7914|46.7914|1241.3284079662471|1241.7156078641551|11704|11742|0.00089|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1250.578|6e-05|15.368|0.017|12.155|0.413|-0.416|0.265|2|2|2|-43.4492|43.4492|1250.4737131364782|1250.8362080037614|12621|12658|6e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1253.805|6e-05|15.368|0.0|12.155|0.0|-0.416|0.0|2|2|2|-43.4492|43.4492|1253.7004440339444|1254.0638742854553|12945|12981|6e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1317.217|5e-05|13.546|0.028|14.483|2.324|3.383|1.245|2|2|2|-26.738|26.738|1317.1658941303958|1317.4008549988644|20319|20342|6e-05|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1370.132|5e-05|13.546|0.0|14.483|0.0|3.383|0.0|2|2|2|-26.738|26.738|1370.078841114765|1370.323240788195|25626|25651|6e-05|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1142.3656|3e-05|14.532|0.023|14.94|0.718|3.783|0.51|2|2|2|-40.107|40.107|1142.2448604648064|1142.550517634602|1761|1792|4e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1143.226|3e-05|14.532|0.0|14.94|0.0|3.783|0.0|2|2|2|-40.107|40.107|1143.1051695269348|1143.4110569097456|1848|1878|4e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1144.9379|3e-05|14.532|0.0|14.94|0.0|3.783|0.0|2|2|2|-40.107|40.107|1144.8168885918556|1145.1232340193665|2019|2050|4e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1142.3656|0.00092|15.44|0.01|31.13|0.373|-7.476|0.336|4|4|4|-70.1872|70.1872|1143.149103671643|1143.6840033377332|1852|1906|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1143.226|0.00092|15.44|0.0|31.13|0.0|-7.476|0.0|4|4|4|-70.1872|70.1872|1144.0100937861903|1144.5453963247696|1938|1992|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1144.9379|0.00092|15.44|0.0|31.13|0.0|-7.476|0.0|4|4|4|-70.1872|70.1872|1145.7231679111248|1146.2592720273587|2110|2164|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G130M_1291_LP4_2040.384_16093/lehd2c010/lehd2c010_continuumfit.fits|1250.578|0.00088|16.127|0.01|32.827|0.344|2.438|0.208|3|3|3|-80.2139|80.2139|1251.3381203550055|1252.0073415842746|12708|12775|0.00088|S II|none|--|./modified_component_groups/input_group_0.VP
