specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G160M_1611_LP4_2080.064_16093/lehd2c020/lehd2c020_continuumfit.fits|1454.84200|0.00093670|14.0546|28.7126|0.0000|2|2|2|-41.7781|41.7781|1456.00183|1456.40770|0.00093670|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G160M_1611_LP4_2080.064_16093/lehd2c020/lehd2c020_continuumfit.fits|1467.25900|0.00093670|14.0546|28.7126|0.0000|2|2|2|-41.7781|41.7781|1468.42873|1468.83806|0.00093670|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G160M_1611_LP4_2080.064_16093/lehd2c020/lehd2c020_continuumfit.fits|1467.75600|0.00093670|14.0546|28.7126|0.0000|2|2|2|-41.7781|41.7781|1468.92613|1469.33559|0.00093670|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G160M_1611_LP4_2080.064_16093/lehd2c020/lehd2c020_continuumfit.fits|1703.41190|0.00093670|14.0546|28.7126|0.0000|2|2|2|-41.7781|41.7781|1704.76990|1705.24511|0.00093670|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G160M_1611_LP4_2080.064_16093/lehd2c020/lehd2c020_continuumfit.fits|1709.60420|0.00093670|14.0546|28.7126|0.0000|2|2|2|-41.7781|41.7781|1710.96713|1711.44407|0.00093670|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G160M_1611_LP4_2080.064_16093/lehd2c020/lehd2c020_continuumfit.fits|1741.55310|0.00093670|14.0546|28.7126|0.0000|2|2|2|-41.7781|41.7781|1742.94150|1743.42735|0.00093670|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G160M_1611_LP4_2080.064_16093/lehd2c020/lehd2c020_continuumfit.fits|1751.91570|0.00093670|14.0546|28.7126|0.0000|2|2|2|-41.7781|41.7781|1753.31237|1753.80111|0.00093670|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G160M_1611_LP4_2080.064_16093/lehd2c020/lehd2c020_continuumfit.fits|1772.28000|0.00093670|14.0546|28.7126|0.0000|2|2|2|-41.7781|41.7781|1773.69290|1774.18732|0.00093670|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G160M_1611_LP4_2080.064_16093/lehd2c020/lehd2c020_continuumfit.fits|1773.94900|0.00093670|14.0546|28.7126|0.0000|2|2|2|-41.7781|41.7781|1775.36323|1775.85812|0.00093670|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MH 57/G160M_1611_LP4_2080.064_16093/lehd2c020/lehd2c020_continuumfit.fits|1783.31800|0.00093670|14.0546|28.7126|0.0000|2|2|2|-41.7781|41.7781|1784.73970|1785.23720|0.00093670|NiII|none|
