specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1239.9253|0.00094|16.455|0.045|20.1|2.066|-4.795|1.58|2|2|2|-21.7246|21.7246|1240.9968862645528|1241.1765897924674|10616|10630|0.00092|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1240.3947|0.00094|16.455|0.0|20.1|0.0|-4.795|0.0|2|2|2|-21.7246|21.7246|1241.4666919362435|1241.6464634947367|10652|10665|0.00092|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1250.578|5e-05|15.636|0.111|8.821|0.725|0.459|0.376|2|2|2|-23.3957|23.3957|1250.543421949724|1250.7386113011157|11567|11582|5e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1253.805|5e-05|15.636|0.0|8.821|0.0|0.459|0.0|2|2|2|-23.3957|23.3957|1253.7703327242873|1253.9660257436126|11808|11823|5e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1250.578|0.0009|16.292|0.077|21.13|0.855|5.801|0.396|2|2|2|-40.107|40.107|1251.5333133431486|1251.8679243749314|11641|11666|0.00092|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1253.805|0.0009|16.292|0.0|21.13|0.0|5.801|0.0|2|2|2|-40.107|40.107|1254.7627784402146|1255.0982529045857|11882|11907|0.00092|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1608.4511|0.00094|15.738|0.044|19.75|0.439|-11.839|0.556|2|2|2|-31.7513|31.7513|1609.7873835829603|1610.1280887077799|38508|38527|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1611.2005|0.00094|15.738|0.0|19.75|0.0|-11.839|0.0|2|2|2|-31.7513|31.7513|1612.5390677544112|1612.8803552622887|38668|38688|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1152.818|0.00087|16.44|2.101|10.767|5.203|10.748|2.997|2|2|2|-35.0936|35.0936|1153.6857841537787|1153.9556810953811|1403|1424|0.00091|P II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1317.217|0.00093|14.066|0.024|22.0|1.501|-4.745|1.043|2|2|2|-36.7647|36.7647|1318.281964887826|1318.605035642594|17759|17782|0.00092|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1370.132|0.00093|14.066|0.0|22.0|0.0|-4.745|0.0|2|2|2|-36.7647|36.7647|1371.2397464621902|1371.5757955561296|22134|22157|0.00092|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/RMC 140/E140M_1425_0.2x0.2_2670.000_16272/oec159010/oec159010_continuumfit.fits|1454.842|0.00093|14.066|0.0|22.0|0.0|-4.745|0.0|2|2|2|-36.7647|36.7647|1456.0182341719963|1456.3750598909235|28540|28563|0.00092|NiII|none|--|./modified_component_groups/input_group_5.VP
