specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1239.9253|0.00094|16.306|0.023|17.394|1.675|-11.544|0.99|2|2|2|-48.4626|48.4626|1240.8862993508842|1241.287176706136|11711|11751|0.0009|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1240.3947|0.00094|16.306|0.0|17.394|0.0|-11.544|0.0|2|2|2|-48.4626|48.4626|1241.356063157555|1241.7570922734253|11758|11799|0.0009|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1250.578|6e-05|15.341|0.014|17.71|0.753|-1.09|0.493|2|2|2|-61.8316|61.8316|1250.3900656179478|1250.9059240833722|12665|12716|5e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1253.805|6e-05|15.341|0.0|17.71|0.0|-1.09|0.0|2|2|2|-61.8316|61.8316|1253.6165806707868|1254.1337702609133|12988|13040|5e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1317.217|0.00089|14.05|0.02|27.553|2.027|3.53|1.289|2|2|2|-46.7914|46.7914|1318.1791620664765|1318.5903427075439|20473|20515|0.0009|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1370.132|0.00089|14.05|0.0|27.553|0.0|3.53|0.0|2|2|2|-46.7914|46.7914|1371.1328138647357|1371.5605123791847|25786|25828|0.0009|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1142.3656|2e-05|14.957|0.022|37.945|2.687|9.471|1.822|2|2|2|-50.1337|50.1337|1142.1939275563238|1142.5759986375165|1810|1849|5e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1143.226|2e-05|14.957|0.0|37.945|0.0|9.471|0.0|2|2|2|-50.1337|50.1337|1143.054198257113|1143.4365571042874|1897|1935|5e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1142.3656|0.00082|15.269|0.019|26.792|1.292|14.011|0.792|3|3|3|-50.1337|50.1337|1143.1108929997877|1143.4929640809805|1902|1941|0.00087|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1143.226|0.00082|15.269|0.0|26.792|0.0|14.011|0.0|3|3|3|-50.1337|50.1337|1143.971854335053|1144.3542131822273|1989|2027|0.00087|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1250.578|0.0009|16.019|0.019|26.957|0.528|-4.143|0.323|4|4|4|-55.1471|55.1471|1251.4775395984361|1251.9376295585635|12774|12820|0.00089|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1253.805|0.0009|16.019|0.0|26.957|0.0|-4.143|0.0|4|4|4|-55.1471|55.1471|1254.706860776551|1255.168137955949|13098|13144|0.00089|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1152.818|0.00089|14.172|0.014|30.267|1.186|-6.869|0.764|2|2|2|-63.5027|63.5027|1153.5958152888782|1154.0842001942021|2954|3003|0.00086|P II|none|--|./modified_component_groups/input_group_1.VP
