specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1133.66540|0.00001695|14.9868|29.7286|0.0000|2|2|2|-50.1337|50.1337|1133.49504|1133.87421|0.00001695|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1142.36560|0.00001695|14.9868|29.7286|0.0000|2|2|2|-50.1337|50.1337|1142.19394|1142.57601|0.00001695|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1143.22600|0.00001695|14.9868|29.7286|0.0000|2|2|2|-50.1337|50.1337|1143.05421|1143.43657|0.00001695|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1144.93790|0.00001695|14.9868|29.7286|0.0000|2|2|2|-50.1337|50.1337|1144.76585|1145.14879|0.00001695|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1260.53300|0.00001695|14.9868|29.7286|0.0000|2|2|2|-50.1337|50.1337|1260.34358|1260.76518|0.00001695|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1133.66540|0.00081964|15.1477|33.1047|0.0000|3|3|3|-50.1337|50.1337|1134.40488|1134.78435|0.00081964|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1142.36560|0.00081964|15.1477|33.1047|0.0000|3|3|3|-50.1337|50.1337|1143.11075|1143.49314|0.00081964|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1143.22600|0.00081964|15.1477|33.1047|0.0000|3|3|3|-50.1337|50.1337|1143.97171|1144.35439|0.00081964|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1144.93790|0.00081964|15.1477|33.1047|0.0000|3|3|3|-50.1337|50.1337|1145.68473|1146.06798|0.00081964|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1260.53300|0.00081964|15.1477|33.1047|0.0000|3|3|3|-50.1337|50.1337|1261.35523|1261.77717|0.00081964|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1250.57800|0.00090325|15.8767|30.3930|0.0000|4|4|4|-55.1471|55.1471|1251.47736|1251.93786|0.00090325|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1253.80500|0.00090325|15.8767|30.3930|0.0000|4|4|4|-55.1471|55.1471|1254.70668|1255.16837|0.00090325|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/2MASS J05384539-6902514/G130M_1291_LP5_2800.640_16814/lewn3c010/lewn3c010_continuumfit.fits|1259.51800|0.00090325|15.8767|30.3930|0.0000|4|4|4|-55.1471|55.1471|1260.42379|1260.88758|0.00090325|SII|none|
