specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1250.578|0.00086|19.992|0.206|17.553|0.623|-2.093|0.68|2|2|2|-71.8583|71.8583|1251.352065902369|1251.951576708591|11628|11673|0.00085|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1253.805|0.00086|19.992|0.0|17.553|0.0|-2.093|0.0|2|2|2|-71.8583|71.8583|1254.5810633073027|1255.1821210952976|11869|11914|0.00085|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1317.217|0.00096|14.373|0.019|34.52|2.05|-5.06|1.422|2|2|2|-43.4492|43.4492|1318.2966425157476|1318.6784534876326|17761|17788|0.00095|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1370.132|0.00096|14.373|0.0|34.52|0.0|-5.06|0.0|2|2|2|-43.4492|43.4492|1371.2550137170917|1371.6521627293885|22136|22163|0.00095|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1454.842|0.00096|14.373|0.0|34.52|0.0|-5.06|0.0|2|2|2|-43.4492|43.4492|1456.0344453426394|1456.456148553241|28541|28569|0.00095|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1317.217|0.00094|14.373|0.019|34.19|2.033|0.908|1.408|2|2|2|-43.4492|43.4492|1318.2672685766474|1318.6490795485324|17759|17786|0.00095|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1370.132|0.00094|14.373|0.0|34.19|0.0|0.908|0.0|2|2|2|-43.4492|43.4492|1371.2244597734916|1371.6216087857883|22134|22161|0.00095|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1454.842|0.00094|14.373|0.0|34.19|0.0|0.908|0.0|2|2|2|-43.4492|43.4492|1456.0020023660393|1456.4237055766407|28539|28566|0.00095|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1608.4511|0.00091|15.864|0.054|33.01|1.507|-18.461|2.039|2|2|2|-41.7781|41.7781|1609.6977191820745|1610.1460161896057|38503|38529|0.00085|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1611.2005|0.00091|15.864|0.0|33.01|0.0|-18.461|0.0|2|2|2|-41.7781|41.7781|1612.4492500860101|1612.89831338839|38663|38689|0.00085|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1239.9253|0.00093|16.598|0.055|20.39|2.876|-6.67|1.95|2|2|2|-46.7914|46.7914|1240.886304959263|1241.2733583299148|10608|10637|0.00091|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/BAT99-105/E140M/E140M30/oeb71t010_continuumfit.fits|1240.3947|0.00093|16.598|0.0|20.39|0.0|-6.67|0.0|2|2|2|-46.7914|46.7914|1241.356068768057|1241.743268665965|10644|10673|0.00091|MgII|none|--|./modified_component_groups/input_group_1.VP
