specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1250.578|2e-05|15.491|0.032|17.074|0.875|1.655|0.625|2|2|2|-31.7513|31.7513|1250.4737131293402|1250.7386129037795|11562|11581|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1253.805|2e-05|15.491|0.0|17.074|0.0|1.655|0.0|2|2|2|-31.7513|31.7513|1253.700444026788|1253.9660273504119|11802|11822|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1358.773|0.00087|12.665|0.192|20.0|11.46|-0.237|7.715|2|2|2|-18.3824|18.3824|1359.871558341914|1360.0381903443458|21194|21206|0.00087|CuII|none|--|./modified_component_groups/input_group_6.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1250.578|0.00096|15.657|0.028|23.076|0.923|-10.671|0.729|2|2|2|-31.7513|31.7513|1251.6448544147802|1251.9097541892195|11649|11669|0.00092|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1253.805|0.00096|15.657|0.0|23.076|0.0|-10.671|0.0|2|2|2|-31.7513|31.7513|1254.8746073331881|1255.140190656812|11890|11910|0.00092|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1355.5977|0.00094|17.0|1.037|4.0|23.393|28.642|13.492|2|2|2|-13.369|13.369|1356.8145872716682|1356.9354908178898|20983|20992|0.00104|O I|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1608.4511|0.00089|15.391|0.101|20.0|1.126|3.993|1.003|2|2|2|-25.0668|25.0668|1609.7515265304744|1610.0205040911674|38505|38521|0.00091|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1611.2005|0.00089|15.391|0.0|20.0|0.0|3.993|0.0|2|2|2|-25.0668|25.0668|1612.5031494098039|1612.7725867463057|38665|38681|0.00091|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1239.9253|0.00092|16.148|0.048|11.907|1.663|0.709|1.126|2|2|2|-23.3957|23.3957|1240.9692431348312|1241.1627698201569|10614|10628|0.00092|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1240.3947|0.00092|16.148|0.0|11.907|0.0|0.709|0.0|2|2|2|-23.3957|23.3957|1241.4390383416292|1241.632638290583|10649|10664|0.00092|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1317.217|0.00094|13.798|0.037|14.368|1.691|-4.023|1.132|2|2|2|-30.0802|30.0802|1318.3260087937645|1318.5903393314154|17762|17781|0.00093|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1370.132|0.00094|13.798|0.0|14.368|0.0|-4.023|0.0|2|2|2|-30.0802|30.0802|1371.285559691849|1371.560508867431|22137|22156|0.00093|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BI 42/E140M_1425_0.2x0.2_2240.000_14675/oda973010/oda973010_continuumfit.fits|1454.842|0.00094|13.798|0.0|14.368|0.0|-4.023|0.0|2|2|2|-30.0802|30.0802|1456.0668798577135|1456.3588280849663|28542|28561|0.00093|NiII|none|--|./modified_component_groups/input_group_5.VP
