specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1239.9253|0.00094|16.091|0.066|5.615|0.948|-0.59|0.576|2|2|2|-18.3824|18.3824|1241.010709421964|1241.1627666350562|10617|10628|0.00093|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1240.3947|0.00094|16.091|0.0|5.615|0.0|-0.59|0.0|2|2|2|-18.3824|18.3824|1241.4805203267038|1241.6326351042765|10652|10664|0.00093|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1358.773|0.001|12.45|162.74|1.322|307.595|-11.558|213.295|2|2|2|-26.738|26.738|1360.0078958834144|1360.2502693755052|21204|21221|0.00096|CuII|none|--|./modified_component_groups/input_group_6.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1250.578|4e-05|15.552|0.032|13.71|0.514|-3.485|0.338|2|2|2|-35.0936|35.0936|1250.4876586838423|1250.780443128078|11563|11584|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1253.805|4e-05|15.552|0.0|13.71|0.0|-3.485|0.0|2|2|2|-35.0936|35.0936|1253.714425566494|1254.0079655137065|11803|11825|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1250.578|0.00095|15.954|0.091|12.71|0.655|-5.092|0.293|2|2|2|-33.4225|33.4225|1251.6309048135174|1251.9097473400027|11648|11669|0.00094|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1253.805|0.00095|15.954|0.0|12.71|0.0|-5.092|0.0|2|2|2|-33.4225|33.4225|1254.860621736279|1255.1401837899214|11889|11910|0.00094|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1611.2005|0.00093|15.133|0.242|2.43|1.213|-0.056|0.819|2|2|2|-13.369|13.369|1612.6288869501886|1612.772587292941|38673|38681|0.00093|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1152.818|0.00091|16.57|0.398|3.29|3.114|0.145|3.723|2|2|2|-21.7246|21.7246|1153.7885972862794|1153.9556762721209|1410|1424|0.00091|P II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1317.217|0.00093|14.069|0.016|12.5|0.538|3.868|0.375|2|2|2|-25.0668|25.0668|1318.3260126167877|1318.5462877719126|17762|17778|0.00094|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1370.132|0.00093|14.069|0.0|12.5|0.0|3.868|0.0|2|2|2|-25.0668|25.0668|1371.2855636684499|1371.5146876767503|22137|22153|0.00094|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/BRRG 75/E140M_1425_0.2x0.2_2548.200_16820/oeuf2s020/oeuf2s020_continuumfit.fits|1454.842|0.00093|14.069|0.0|12.5|0.0|3.868|0.0|2|2|2|-25.0668|25.0668|1456.0668840801725|1456.3101739460278|28542|28558|0.00094|NiII|none|--|./modified_component_groups/input_group_5.VP
