specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1239.9253|0.00091|16.019|0.031|10.676|1.976|1.112|0.981|2|2|2|-35.0936|35.0936|1240.9139424735286|1241.204232915112|11660|11690|0.00092|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1240.3947|0.00091|16.019|0.0|10.676|0.0|1.112|0.0|2|2|2|-35.0936|35.0936|1241.383716745089|1241.6741170822713|11708|11737|0.00092|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1250.578|1e-05|15.434|0.016|15.67|0.543|6.167|0.34|2|2|2|-40.107|40.107|1250.4179478365088|1250.7525588682913|12614|12648|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1253.805|1e-05|15.434|0.0|15.67|0.0|6.167|0.0|2|2|2|-40.107|40.107|1253.6445348368147|1253.9800093011856|12938|12972|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1317.217|0.00092|13.806|0.023|20.8|2.066|0.483|1.249|2|2|2|-46.7914|46.7914|1318.2232229751262|1318.6344036161938|20423|20464|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1370.132|0.00092|13.806|0.0|20.8|0.0|0.483|0.0|2|2|2|-46.7914|46.7914|1371.1786447801355|1371.6063432945846|25735|25778|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1142.3656|3e-05|14.741|0.025|18.22|2.285|-3.993|1.301|2|2|2|-53.4759|53.4759|1142.193917984226|1142.6014601151824|1755|1796|1e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1143.226|3e-05|14.741|0.0|18.22|0.0|-3.993|0.0|2|2|2|-53.4759|53.4759|1143.0541886778055|1143.4620377588747|1841|1882|1e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1142.3656|0.00088|15.083|0.018|21.86|1.26|4.417|0.775|3|3|3|-45.1203|45.1203|1143.200046526755|1143.543910271197|1856|1890|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1143.226|0.00088|15.083|0.0|21.86|0.0|4.417|0.0|3|3|3|-45.1203|45.1203|1144.0610750101332|1144.4051977437869|1942|1977|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1250.578|0.00098|15.64|0.012|22.451|0.51|-20.513|0.345|4|4|4|-70.1872|70.1872|1251.5054295219243|1252.0909984103955|12723|12782|0.00091|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1253.805|0.00098|15.64|0.0|22.451|0.0|-20.513|0.0|4|4|4|-70.1872|70.1872|1254.7348226673878|1255.3219025618123|13047|13106|0.00091|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1152.818|0.00091|13.821|0.022|17.876|1.453|-4.068|0.831|2|2|2|-40.107|40.107|1153.711488649299|1154.0199425165808|2910|2941|0.0009|P II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1358.773|0.00097|13.159|0.033|18.6|2.992|9.649|1.647|2|2|2|-25.0668|25.0668|1359.9776013914604|1360.204825860439|24611|24634|0.001|CuII|none|--|./modified_component_groups/input_group_5.VP
