specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1133.66540|0.00002809|14.5887|16.4483|0.0000|2|2|2|-53.4759|53.4759|1133.49504|1133.89949|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1142.36560|0.00002809|14.5887|16.4483|0.0000|2|2|2|-53.4759|53.4759|1142.19394|1142.60149|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1143.22600|0.00002809|14.5887|16.4483|0.0000|2|2|2|-53.4759|53.4759|1143.05421|1143.46207|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1144.93790|0.00002809|14.5887|16.4483|0.0000|2|2|2|-53.4759|53.4759|1144.76585|1145.17432|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1260.53300|0.00002809|14.5887|16.4483|0.0000|2|2|2|-53.4759|53.4759|1260.34358|1260.79329|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1133.66540|0.00088096|14.9194|28.1312|0.0000|3|3|3|-45.1203|45.1203|1134.49335|1134.83490|0.00088096|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1142.36560|0.00088096|14.9194|28.1312|0.0000|3|3|3|-45.1203|45.1203|1143.19990|1143.54407|0.00088096|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1143.22600|0.00088096|14.9194|28.1312|0.0000|3|3|3|-45.1203|45.1203|1144.06093|1144.40536|0.00088096|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1144.93790|0.00088096|14.9194|28.1312|0.0000|3|3|3|-45.1203|45.1203|1145.77408|1146.11902|0.00088096|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1260.53300|0.00088096|14.9194|28.1312|0.0000|3|3|3|-45.1203|45.1203|1261.45361|1261.83337|0.00088096|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1250.57800|0.00097572|15.5507|28.8802|0.0000|4|4|4|-70.1872|70.1872|1251.50518|1252.09132|0.00097572|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1253.80500|0.00097572|15.5507|28.8802|0.0000|4|4|4|-70.1872|70.1872|1254.73457|1255.32222|0.00097572|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G130M_1291_LP4_475.232_16095/leal2c010/leal2c010_continuumfit.fits|1259.51800|0.00097572|15.5507|28.8802|0.0000|4|4|4|-70.1872|70.1872|1260.45181|1261.04214|0.00097572|SII|none|
