specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G160M_1611_LP4_699.264_16095/leal2c020/leal2c020_continuumfit.fits|1454.84200|0.00092555|13.7986|14.6828|0.0000|2|2|2|-25.0668|25.0668|1456.06678|1456.31029|0.00092555|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G160M_1611_LP4_699.264_16095/leal2c020/leal2c020_continuumfit.fits|1467.25900|0.00092555|13.7986|14.6828|0.0000|2|2|2|-25.0668|25.0668|1468.49423|1468.73983|0.00092555|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G160M_1611_LP4_699.264_16095/leal2c020/leal2c020_continuumfit.fits|1467.75600|0.00092555|13.7986|14.6828|0.0000|2|2|2|-25.0668|25.0668|1468.99165|1469.23733|0.00092555|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G160M_1611_LP4_699.264_16095/leal2c020/leal2c020_continuumfit.fits|1703.41190|0.00092555|13.7986|14.6828|0.0000|2|2|2|-25.0668|25.0668|1704.84594|1705.13106|0.00092555|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G160M_1611_LP4_699.264_16095/leal2c020/leal2c020_continuumfit.fits|1709.60420|0.00092555|13.7986|14.6828|0.0000|2|2|2|-25.0668|25.0668|1711.04345|1711.32961|0.00092555|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G160M_1611_LP4_699.264_16095/leal2c020/leal2c020_continuumfit.fits|1741.55310|0.00092555|13.7986|14.6828|0.0000|2|2|2|-25.0668|25.0668|1743.01925|1743.31076|0.00092555|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G160M_1611_LP4_699.264_16095/leal2c020/leal2c020_continuumfit.fits|1751.91570|0.00092555|13.7986|14.6828|0.0000|2|2|2|-25.0668|25.0668|1753.39057|1753.68381|0.00092555|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G160M_1611_LP4_699.264_16095/leal2c020/leal2c020_continuumfit.fits|1772.28000|0.00092555|13.7986|14.6828|0.0000|2|2|2|-25.0668|25.0668|1773.77202|1774.06867|0.00092555|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G160M_1611_LP4_699.264_16095/leal2c020/leal2c020_continuumfit.fits|1773.94900|0.00092555|13.7986|14.6828|0.0000|2|2|2|-25.0668|25.0668|1775.44242|1775.73935|0.00092555|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3053/G160M_1611_LP4_699.264_16095/leal2c020/leal2c020_continuumfit.fits|1783.31800|0.00092555|13.7986|14.6828|0.0000|2|2|2|-25.0668|25.0668|1784.81931|1785.11781|0.00092555|NiII|none|
