specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G130M_1291_LP4_2066.368_16319/lehf1c010/lehf1c010_continuumfit.fits|1239.9253|0.00085|16.123|0.066|6.63|1.289|1.746|0.69|2|2|2|-31.7513|31.7513|1240.8448274412174|1241.107470740789|11654|11680|0.00085|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G130M_1291_LP4_2066.368_16319/lehf1c010/lehf1c010_continuumfit.fits|1240.3947|0.00085|16.123|0.0|6.63|0.0|1.746|0.0|2|2|2|-31.7513|31.7513|1241.3145755478176|1241.5773182765765|11701|11727|0.00085|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G130M_1291_LP4_2066.368_16319/lehf1c010/lehf1c010_continuumfit.fits|1250.578|1e-05|15.448|0.022|12.536|0.471|-10.183|0.297|2|2|2|-48.4626|48.4626|1250.390058344445|1250.7943797992748|12612|12652|-2e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G130M_1291_LP4_2066.368_16319/lehf1c010/lehf1c010_continuumfit.fits|1253.805|1e-05|15.448|0.0|12.536|0.0|-10.183|0.0|2|2|2|-48.4626|48.4626|1253.6165733785153|1254.0219381471845|12935|12976|-2e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G130M_1291_LP4_2066.368_16319/lehf1c010/lehf1c010_continuumfit.fits|1317.217|0.0009|13.748|0.023|13.644|1.813|-9.2|0.984|2|2|2|-35.0936|35.0936|1318.2525832951615|1318.5609692153384|20426|20457|0.00087|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G130M_1291_LP4_2066.368_16319/lehf1c010/lehf1c010_continuumfit.fits|1370.132|0.0009|13.748|0.0|13.644|0.0|-9.2|0.0|2|2|2|-35.0936|35.0936|1371.209184557568|1371.529958900432|25738|25770|0.00087|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G130M_1291_LP4_2066.368_16319/lehf1c010/lehf1c010_continuumfit.fits|1142.3656|2e-05|14.487|0.019|18.305|0.955|-27.315|0.592|2|2|2|-63.5027|63.5027|1142.1429846946912|1142.626941499149|1750|1798|-7e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G130M_1291_LP4_2066.368_16319/lehf1c010/lehf1c010_continuumfit.fits|1143.226|2e-05|14.487|0.0|18.305|0.0|-27.315|0.0|2|2|2|-63.5027|63.5027|1143.0032170266445|1143.4875383347558|1836|1885|-7e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G130M_1291_LP4_2066.368_16319/lehf1c010/lehf1c010_continuumfit.fits|1144.9379|2e-05|14.487|0.0|18.305|0.0|-27.315|0.0|2|2|2|-63.5027|63.5027|1144.7147834249138|1145.199829969896|2008|2057|-7e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G130M_1291_LP4_2066.368_16319/lehf1c010/lehf1c010_continuumfit.fits|1142.3656|0.00084|14.924|0.016|23.001|0.579|-6.472|0.476|3|3|3|-48.4626|48.4626|1143.136361115061|1143.5056966713714|1850|1887|0.00081|FeII|none|--|./modified_component_groups/input_group_0.VP
