specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G160M_1611_LP4_1996.096_16319/lehf1c020/lehf1c020_continuumfit.fits|1454.84200|0.00090325|13.7504|10.0000|0.0000|2|2|2|-28.4091|28.4091|1456.01811|1456.29409|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G160M_1611_LP4_1996.096_16319/lehf1c020/lehf1c020_continuumfit.fits|1467.25900|0.00090325|13.7504|10.0000|0.0000|2|2|2|-28.4091|28.4091|1468.44515|1468.72348|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G160M_1611_LP4_1996.096_16319/lehf1c020/lehf1c020_continuumfit.fits|1467.75600|0.00090325|13.7504|10.0000|0.0000|2|2|2|-28.4091|28.4091|1468.94255|1469.22098|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G160M_1611_LP4_1996.096_16319/lehf1c020/lehf1c020_continuumfit.fits|1703.41190|0.00090325|13.7504|10.0000|0.0000|2|2|2|-28.4091|28.4091|1704.78896|1705.11209|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G160M_1611_LP4_1996.096_16319/lehf1c020/lehf1c020_continuumfit.fits|1709.60420|0.00090325|13.7504|10.0000|0.0000|2|2|2|-28.4091|28.4091|1710.98626|1711.31057|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G160M_1611_LP4_1996.096_16319/lehf1c020/lehf1c020_continuumfit.fits|1741.55310|0.00090325|13.7504|10.0000|0.0000|2|2|2|-28.4091|28.4091|1742.96099|1743.29136|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G160M_1611_LP4_1996.096_16319/lehf1c020/lehf1c020_continuumfit.fits|1751.91570|0.00090325|13.7504|10.0000|0.0000|2|2|2|-28.4091|28.4091|1753.33197|1753.66430|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G160M_1611_LP4_1996.096_16319/lehf1c020/lehf1c020_continuumfit.fits|1772.28000|0.00090325|13.7504|10.0000|0.0000|2|2|2|-28.4091|28.4091|1773.71273|1774.04892|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G160M_1611_LP4_1996.096_16319/lehf1c020/lehf1c020_continuumfit.fits|1773.94900|0.00090325|13.7504|10.0000|0.0000|2|2|2|-28.4091|28.4091|1775.38308|1775.71959|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3058/G160M_1611_LP4_1996.096_16319/lehf1c020/lehf1c020_continuumfit.fits|1783.31800|0.00090325|13.7504|10.0000|0.0000|2|2|2|-28.4091|28.4091|1784.75965|1785.09794|0.00090325|NiII|none|
