specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1239.9253|0.00093|16.486|0.407|4.0|1.221|3.248|0.857|2|2|2|-26.738|26.738|1240.9692447309203|1241.1904185582578|11667|11689|0.00094|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1240.3947|0.00093|16.486|0.0|4.0|0.0|3.248|0.0|2|2|2|-26.738|26.738|1241.4390399383224|1241.6602974956995|11714|11736|0.00094|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1250.578|3e-05|15.404|0.02|14.502|0.63|0.64|0.395|2|2|2|-38.4358|38.4358|1250.4597728213919|1250.7804411011282|12619|12652|4e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1253.805|3e-05|15.404|0.0|14.502|0.0|0.64|0.0|2|2|2|-38.4358|38.4358|1253.686467747174|1254.0079634815263|12943|12975|4e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1317.217|0.00093|13.832|0.023|19.011|2.014|0.399|1.169|2|2|2|-31.7513|31.7513|1318.2966425082293|1318.5756578804712|20432|20460|0.00093|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1370.132|0.00093|13.832|0.0|19.011|0.0|0.399|0.0|2|2|2|-31.7513|31.7513|1371.2550137092712|1371.5452376359292|25744|25773|0.00093|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1142.3656|4e-05|14.535|0.034|15.706|1.149|-13.002|0.762|2|2|2|-31.7513|31.7513|1142.2958118156037|1142.5377898367806|1766|1790|0.0|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1143.226|4e-05|14.535|0.0|15.706|0.0|-13.002|0.0|2|2|2|-31.7513|31.7513|1143.156159252962|1143.3983195256783|1852|1877|0.0|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1144.9379|4e-05|14.535|0.0|15.706|0.0|-13.002|0.0|2|2|2|-31.7513|31.7513|1144.8679546713875|1145.1104775619685|2024|2049|0.0|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1142.3656|0.00092|15.029|0.023|19.18|0.63|-4.604|0.596|3|3|3|-43.4492|43.4492|1143.2509893949082|1143.582117614468|1862|1895|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1143.226|0.00092|15.029|0.0|19.18|0.0|-4.604|0.0|3|3|3|-43.4492|43.4492|1144.1120562471272|1144.4434338638328|1948|1982|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1144.9379|0.00092|15.029|0.0|19.18|0.0|-4.604|0.0|3|3|3|-43.4492|43.4492|1145.8252830536285|1146.157156884855|2120|2154|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G130M_1291_LP4_1990.400_16094/leak2c010/leak2c010_continuumfit.fits|1250.578|0.00095|15.599|0.016|20.22|0.628|-6.989|0.42|4|4|4|-60.1604|60.1604|1251.5193682200713|1252.021283933449|12726|12776|0.00093|S II|none|--|./modified_component_groups/input_group_0.VP
