specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G160M_1611_LP4_1968.096_16094/leak2c020/leak2c020_continuumfit.fits|1454.84200|0.00090325|13.8012|13.7295|0.0000|2|2|2|-21.7246|21.7246|1456.05057|1456.26162|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G160M_1611_LP4_1968.096_16094/leak2c020/leak2c020_continuumfit.fits|1467.25900|0.00090325|13.8012|13.7295|0.0000|2|2|2|-21.7246|21.7246|1468.47789|1468.69073|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G160M_1611_LP4_1968.096_16094/leak2c020/leak2c020_continuumfit.fits|1467.75600|0.00090325|13.8012|13.7295|0.0000|2|2|2|-21.7246|21.7246|1468.97530|1469.18822|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G160M_1611_LP4_1968.096_16094/leak2c020/leak2c020_continuumfit.fits|1703.41190|0.00090325|13.8012|13.7295|0.0000|2|2|2|-21.7246|21.7246|1704.82697|1705.07407|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G160M_1611_LP4_1968.096_16094/leak2c020/leak2c020_continuumfit.fits|1709.60420|0.00090325|13.8012|13.7295|0.0000|2|2|2|-21.7246|21.7246|1711.02441|1711.27241|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G160M_1611_LP4_1968.096_16094/leak2c020/leak2c020_continuumfit.fits|1741.55310|0.00090325|13.8012|13.7295|0.0000|2|2|2|-21.7246|21.7246|1742.99985|1743.25249|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G160M_1611_LP4_1968.096_16094/leak2c020/leak2c020_continuumfit.fits|1751.91570|0.00090325|13.8012|13.7295|0.0000|2|2|2|-21.7246|21.7246|1753.37106|1753.62520|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G160M_1611_LP4_1968.096_16094/leak2c020/leak2c020_continuumfit.fits|1772.28000|0.00090325|13.8012|13.7295|0.0000|2|2|2|-21.7246|21.7246|1773.75228|1774.00937|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G160M_1611_LP4_1968.096_16094/leak2c020/leak2c020_continuumfit.fits|1773.94900|0.00090325|13.8012|13.7295|0.0000|2|2|2|-21.7246|21.7246|1775.42267|1775.68000|0.00090325|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3100/G160M_1611_LP4_1968.096_16094/leak2c020/leak2c020_continuumfit.fits|1783.31800|0.00090325|13.8012|13.7295|0.0000|2|2|2|-21.7246|21.7246|1784.79945|1785.05814|0.00090325|NiII|none|
