specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1250.578|4e-05|16.292|0.307|10.477|1.272|0.577|0.474|2|2|2|-30.0802|30.0802|1250.5015937523756|1250.7525516090645|11563|11581|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1253.805|4e-05|16.292|0.0|10.477|0.0|0.577|0.0|2|2|2|-30.0802|30.0802|1253.728396593173|1253.9800020232271|11803|11822|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1250.578|0.00091|15.816|0.102|13.712|1.066|8.009|0.617|2|2|2|-30.0802|30.0802|1251.5890838753953|1251.8400417320845|11644|11662|0.00094|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1253.805|0.00091|15.816|0.0|13.712|0.0|8.009|0.0|2|2|2|-30.0802|30.0802|1254.818692883123|1255.070298313177|11885|11904|0.00094|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1317.217|0.00094|13.845|0.049|15.561|2.217|-6.333|1.537|2|2|2|-16.7112|16.7112|1318.3847490108817|1318.5315991142982|17765|17776|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1370.132|0.00094|13.845|0.0|15.561|0.0|-6.333|0.0|2|2|2|-16.7112|16.7112|1371.3466596102064|1371.4994089490733|22140|22151|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1454.842|0.00094|13.845|0.0|15.561|0.0|-6.333|0.0|2|2|2|-16.7112|16.7112|1456.1317573493884|1456.2939505932916|28546|28556|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1608.4511|0.00089|15.447|0.091|20.879|1.07|1.599|1.077|2|2|2|-45.1203|45.1203|1609.6439351842841|1610.1280954373574|38498|38526|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1611.2005|0.00089|15.447|0.0|20.879|0.0|1.599|0.0|2|2|2|-45.1203|45.1203|1612.39537415274|1612.8803620033696|38658|38687|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1239.9253|0.00092|16.101|0.069|10.81|2.019|4.22|1.43|2|2|2|-23.3957|23.3957|1240.9692431348312|1241.1627698201569|10613|10627|0.00093|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1240.3947|0.00092|16.101|0.0|10.81|0.0|4.22|0.0|2|2|2|-23.3957|23.3957|1241.4390383416292|1241.632638290583|10648|10663|0.00093|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3120/E140M_1425_0.2x0.06_3152.000_8320/o5ez01030/o5ez01030_continuumfit.fits|1358.773|0.00079|12.67|0.172|8.452|4.788|-11.7|3.247|2|2|2|-21.7246|21.7246|1359.7503715803575|1359.9472998160622|21185|21199|0.00075|CuII|none|--|./modified_component_groups/input_group_5.VP
