specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1239.9253|0.0009|16.195|0.01|18.301|0.771|3.232|0.479|2|2|2|-30.0802|30.0802|1240.913946072224|1241.1627662143844|11713|11738|0.00091|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1240.3947|0.0009|16.195|0.0|18.301|0.0|3.232|0.0|2|2|2|-30.0802|30.0802|1241.383720345147|1241.6326346834453|11760|11785|0.00091|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1358.773|0.00091|12.882|0.037|15.0|2.949|2.748|1.601|2|2|2|-21.7246|21.7246|1359.9169979133476|1360.1139261490525|24659|24679|0.00092|CuII|none|--|./modified_component_groups/input_group_6.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1250.578|4e-05|15.439|0.011|15.218|0.348|-2.545|0.218|2|2|2|-40.107|40.107|1250.4597671648287|1250.7943781966112|12671|12704|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1253.805|4e-05|15.439|0.0|15.218|0.0|-2.545|0.0|2|2|2|-40.107|40.107|1253.6864620760145|1254.0219365403857|12994|13028|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1317.217|2e-05|13.469|0.026|12.403|2.04|-3.006|1.062|2|2|2|-35.0936|35.0936|1317.0924707667516|1317.4008566869286|20363|20394|1e-05|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1370.132|2e-05|13.469|0.0|12.403|0.0|-3.006|0.0|2|2|2|-35.0936|35.0936|1370.0024682012083|1370.3232425440717|25671|25703|1e-05|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1142.3656|-1e-05|14.775|0.017|15.0|1.308|3.307|0.691|2|2|2|-26.738|26.738|1142.2576026207748|1142.4613740673053|1816|1836|1e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1143.226|-1e-05|14.775|0.0|15.0|0.0|3.307|0.0|2|2|2|-26.738|26.738|1143.1179212799632|1143.3218462018372|1902|1922|1e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1142.3656|0.00087|15.208|0.014|19.895|0.63|8.052|0.408|3|3|3|-65.1738|65.1738|1143.1108948578662|1143.6075871872058|1901|1951|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1143.226|0.00087|15.208|0.0|19.895|0.0|8.052|0.0|3|3|3|-65.1738|65.1738|1143.9718561945308|1144.4689226195892|1988|2038|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1250.578|0.00092|15.68|0.007|23.74|0.3|1.799|0.21|4|4|4|-53.4759|53.4759|1251.5054331443996|1251.9515803524803|12776|12820|0.00093|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1253.805|0.00092|15.68|0.0|23.74|0.0|1.799|0.0|4|4|4|-53.4759|53.4759|1254.7348262992105|1255.1821247485896|13100|13144|0.00093|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1152.818|0.00087|13.907|0.012|20.318|0.825|5.606|0.485|2|2|2|-45.1203|45.1203|1153.6472276126378|1153.994237636522|2958|2993|0.00089|P II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1317.217|0.00093|13.85|0.013|17.586|1.074|-4.023|0.607|2|2|2|-21.7246|21.7246|1318.340697451379|1318.5316029373214|20488|20508|0.00091|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1370.132|0.00093|13.85|0.0|17.586|0.0|-4.023|0.0|2|2|2|-21.7246|21.7246|1371.300838419526|1371.4994129256743|25801|25821|0.00091|NiII|none|--|./modified_component_groups/input_group_5.VP
