specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1133.66540|-0.00000535|14.6347|10.0000|0.0000|2|2|2|-26.7380|26.7380|1133.55823|1133.76045|-0.00000535|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1142.36560|-0.00000535|14.6347|10.0000|0.0000|2|2|2|-26.7380|26.7380|1142.25761|1142.46138|-0.00000535|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1143.22600|-0.00000535|14.6347|10.0000|0.0000|2|2|2|-26.7380|26.7380|1143.11793|1143.32185|-0.00000535|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1144.93790|-0.00000535|14.6347|10.0000|0.0000|2|2|2|-26.7380|26.7380|1144.82966|1145.03389|-0.00000535|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1260.53300|-0.00000535|14.6347|10.0000|0.0000|2|2|2|-26.7380|26.7380|1260.41384|1260.63868|-0.00000535|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1133.66540|0.00086981|15.0160|32.3052|0.0000|3|3|3|-65.1738|65.1738|1134.40483|1134.89817|0.00086981|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1142.36560|0.00086981|15.0160|32.3052|0.0000|3|3|3|-65.1738|65.1738|1143.11070|1143.60783|0.00086981|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1143.22600|0.00086981|15.0160|32.3052|0.0000|3|3|3|-65.1738|65.1738|1143.97167|1144.46916|0.00086981|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1144.93790|0.00086981|15.0160|32.3052|0.0000|3|3|3|-65.1738|65.1738|1145.68468|1146.18293|0.00086981|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1260.53300|0.00086981|15.0160|32.3052|0.0000|3|3|3|-65.1738|65.1738|1261.35518|1261.90373|0.00086981|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1250.57800|0.00091998|15.5819|27.4781|0.0000|4|4|4|-53.4759|53.4759|1251.50524|1251.95180|0.00091998|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1253.80500|0.00091998|15.5819|27.4781|0.0000|4|4|4|-53.4759|53.4759|1254.73464|1255.18235|0.00091998|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G130M_1291_LP5_1970.400_16818/leuwbc010/leuwbc010_continuumfit.fits|1259.51800|0.00091998|15.5819|27.4781|0.0000|4|4|4|-53.4759|53.4759|1260.45187|1260.90162|0.00091998|SII|none|
