specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G160M_1611_LP6_1964.032_16818/leuw2c020/leuw2c020_continuumfit.fits|1454.84200|0.00091440|13.9549|25.7805|0.0000|2|2|2|-41.7781|41.7781|1455.96940|1456.37525|0.00091440|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G160M_1611_LP6_1964.032_16818/leuw2c020/leuw2c020_continuumfit.fits|1467.25900|0.00091440|13.9549|25.7805|0.0000|2|2|2|-41.7781|41.7781|1468.39602|1468.80534|0.00091440|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G160M_1611_LP6_1964.032_16818/leuw2c020/leuw2c020_continuumfit.fits|1467.75600|0.00091440|13.9549|25.7805|0.0000|2|2|2|-41.7781|41.7781|1468.89341|1469.30286|0.00091440|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G160M_1611_LP6_1964.032_16818/leuw2c020/leuw2c020_continuumfit.fits|1703.41190|0.00091440|13.9549|25.7805|0.0000|2|2|2|-41.7781|41.7781|1704.73192|1705.20712|0.00091440|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G160M_1611_LP6_1964.032_16818/leuw2c020/leuw2c020_continuumfit.fits|1709.60420|0.00091440|13.9549|25.7805|0.0000|2|2|2|-41.7781|41.7781|1710.92902|1711.40595|0.00091440|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G160M_1611_LP6_1964.032_16818/leuw2c020/leuw2c020_continuumfit.fits|1741.55310|0.00091440|13.9549|25.7805|0.0000|2|2|2|-41.7781|41.7781|1742.90268|1743.38852|0.00091440|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G160M_1611_LP6_1964.032_16818/leuw2c020/leuw2c020_continuumfit.fits|1751.91570|0.00091440|13.9549|25.7805|0.0000|2|2|2|-41.7781|41.7781|1753.27331|1753.76204|0.00091440|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G160M_1611_LP6_1964.032_16818/leuw2c020/leuw2c020_continuumfit.fits|1772.28000|0.00091440|13.9549|25.7805|0.0000|2|2|2|-41.7781|41.7781|1773.65339|1774.14780|0.00091440|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G160M_1611_LP6_1964.032_16818/leuw2c020/leuw2c020_continuumfit.fits|1773.94900|0.00091440|13.9549|25.7805|0.0000|2|2|2|-41.7781|41.7781|1775.32368|1775.81856|0.00091440|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3168/G160M_1611_LP6_1964.032_16818/leuw2c020/leuw2c020_continuumfit.fits|1783.31800|0.00091440|13.9549|25.7805|0.0000|2|2|2|-41.7781|41.7781|1784.69994|1785.19743|0.00091440|NiII|none|
