wave,flux,err,best_fit_spec
1250.0025740304575,1.154049,0.21602741,1.39532470703125
1250.0160153794352,1.4270196,0.20814702,1.3953857421875
1250.029456463672,1.3667074,0.21747057,1.39544677734375
1250.0428972831828,1.0686167,0.19499533,1.3955078125
1250.056337837983,1.446412,0.22583199,1.3955535888671875
1250.069778128089,1.5733285,0.21942641,1.39556884765625
1250.0832181535159,1.3538356,0.22953911,1.3955841064453125
1250.0966579142794,1.4329631,0.21168831,1.3955535888671875
1250.1100974103952,1.60338,0.21740437,1.3954620361328125
1250.1235366418794,1.4334935,0.2141814,1.3953094482421875
1250.1369756087468,1.5560508,0.21419142,1.3950653076171875
1250.1504143110133,1.574576,0.2126755,1.3947296142578125
1250.1638527486948,1.8451391,0.22884308,1.3943328857421875
1250.177290921807,1.0932249,0.21658088,1.393829345703125
1250.1907288303653,1.3376441,0.2024519,1.3932647705078125
1250.2041664743854,1.3952208,0.20381881,1.39263916015625
1250.2176038538826,1.1378554,0.19015689,1.391937255859375
1250.2310409688728,1.4484556,0.2062103,1.3911895751953125
1250.244477819372,1.3022598,0.19420847,1.3903961181640625
1250.2579144053948,1.762048,0.21671726,1.389556884765625
1250.271350726958,1.5206685,0.21878074,1.3886260986328125
1250.2847867840765,1.3413273,0.19607185,1.3876495361328125
1250.298222576766,1.3490956,0.1997056,1.3865966796875
1250.3116581050422,1.6669673,0.22668082,1.38543701171875
1250.3250933689203,1.7167236,0.21237417,1.3842010498046875
1250.338528368417,1.5125837,0.20815876,1.38287353515625
1250.3519631035467,1.1772158,0.19177108,1.3814697265625
1250.3653975743257,1.6317246,0.22577097,1.3800048828125
1250.3788317807696,1.4992999,0.21163414,1.378448486328125
1250.3922657228934,1.399734,0.21096611,1.37689208984375
1250.4056994007133,1.4325005,0.2043871,1.3753509521484375
1250.419132814245,1.3320806,0.19729754,1.3737945556640625
1250.432565963503,1.4306414,0.20354317,1.3722991943359375
1250.4459988485046,1.8878441,0.22292224,1.370880126953125
1250.4594314692638,1.2560548,0.20537972,1.369537353515625
1250.4728638257975,1.288108,0.18214796,1.368255615234375
1250.4862959181207,1.1188349,0.18915181,1.367095947265625
1250.4997277462485,1.5605482,0.21067569,1.3660125732421875
1250.5131593101971,1.3617994,0.19913691,1.3650054931640625
1250.5265906099821,1.0233558,0.18431377,1.3640899658203125
1250.540021645619,1.0676826,0.18540838,1.363250732421875
1250.5534524171233,1.0870814,0.17964219,1.36248779296875
1250.5668829245103,0.49219418,0.13343437,1.3618011474609375
1250.580313167796,0.4446172,0.16593327,1.3611602783203125
1250.593743146996,0.26332915,0.12638323,1.3606109619140625
1250.607172862126,0.5880069,0.15202972,1.3601226806640625
1250.6206023132008,0.38359782,0.13343713,1.35968017578125
1250.634031500237,0.12124653,0.12523457,1.359283447265625
1250.6474604232492,0.04022871,0.11567643,1.3589630126953125
1250.6608890822536,0.28258705,0.12428186,1.358673095703125
1250.6743174772655,0.26199883,0.12172397,1.358428955078125
1250.687745608301,0.6004554,0.14725119,1.358245849609375
1250.7011734753748,0.70026714,0.16260971,1.35809326171875
1250.7146010785036,1.4273328,0.20066813,1.3580169677734375
1250.7280284177014,1.1031849,0.1867585,1.358001708984375
1250.7414554929853,1.1047539,0.17616425,1.3580169677734375
1250.75488230437,1.4965783,0.20624524,1.3581085205078125
1250.7683088518709,1.2589304,0.18722574,1.3582611083984375
1250.781735135504,1.2134442,0.18711153,1.358428955078125
1250.7951611552853,1.3204651,0.19312571,1.358612060546875
1250.8085869112297,0.97577834,0.17968789,1.35882568359375
1250.8220124033526,1.340855,0.2006483,1.3590545654296875
1250.83543763167,1.427093,0.19616222,1.3592681884765625
1250.848862596197,1.2996207,0.20405927,1.359466552734375
1250.86228729695,1.3242339,0.21341832,1.3596954345703125
1250.8757117339437,1.152307,0.20102173,1.35992431640625
1250.889135907194,1.103033,0.19786061,1.36016845703125
1250.902559816716,1.1785153,0.18123624,1.360443115234375
1250.9159834625261,1.799048,0.21057719,1.360748291015625
1250.9294068446388,1.3662645,0.19381514,1.3611297607421875
1250.9428299630706,1.105382,0.18763909,1.3615570068359375
1250.9562528178367,1.6239702,0.20337814,1.36199951171875
1250.9696754089525,1.3191957,0.19092764,1.3625030517578125
1250.9830977364336,1.3724755,0.19196472,1.3630523681640625
1250.9965198002951,1.2656579,0.18634506,1.36358642578125
