specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.198_16815/of1n1s020/of1n1s020_continuumfit.fits|1250.578|5e-05|15.558|0.04|14.435|0.732|-1.789|0.501|2|2|2|-26.738|26.738|1250.5294796148257|1250.752553636014|11565|11582|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.198_16815/of1n1s020/of1n1s020_continuumfit.fits|1253.805|5e-05|15.558|0.0|14.435|0.0|-1.789|0.0|2|2|2|-26.738|26.738|1253.756354412493|1253.9800040554069|11806|11823|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.198_16815/of1n1s020/of1n1s020_continuumfit.fits|1250.578|0.00094|15.707|0.036|18.37|0.759|-3.489|0.545|2|2|2|-35.0936|35.0936|1251.603024190482|1251.895808634718|11645|11667|0.00093|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.198_16815/of1n1s020/of1n1s020_continuumfit.fits|1253.805|0.00094|15.707|0.0|18.37|0.0|-3.489|0.0|2|2|2|-35.0936|35.0936|1254.8326691698937|1255.1262091171063|11887|11909|0.00093|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.198_16815/of1n1s020/of1n1s020_continuumfit.fits|1317.217|0.00094|14.006|0.027|15.0|1.152|-2.533|0.815|2|2|2|-18.3824|18.3824|1318.3700692555199|1318.5316050722804|17765|17776|0.00093|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.198_16815/of1n1s020/of1n1s020_continuumfit.fits|1370.132|0.00094|14.006|0.0|15.0|0.0|-2.533|0.0|2|2|2|-18.3824|18.3824|1371.3313901424017|1371.4994151463984|22140|22151|0.00093|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.198_16815/of1n1s020/of1n1s020_continuumfit.fits|1454.842|0.00094|14.006|0.0|15.0|0.0|-2.533|0.0|2|2|2|-18.3824|18.3824|1456.1155438290266|1456.2939571737736|28545|28557|0.00093|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.198_16815/of1n1s020/of1n1s020_continuumfit.fits|1608.4511|0.0009|15.443|0.102|20.1|1.04|-1.574|0.834|2|2|2|-31.7513|31.7513|1609.733580893665|1610.0742860184846|38504|38523|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.198_16815/of1n1s020/of1n1s020_continuumfit.fits|1611.2005|0.0009|15.443|0.0|20.1|0.0|-1.574|0.0|2|2|2|-31.7513|31.7513|1612.485173097686|1612.8264606055636|38664|38684|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.198_16815/of1n1s020/of1n1s020_continuumfit.fits|1239.9253|0.00094|16.066|0.057|9.828|1.692|0.665|1.144|2|2|2|-23.3957|23.3957|1240.9968810697683|1241.1904077550937|10615|10630|0.00094|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.198_16815/of1n1s020/of1n1s020_continuumfit.fits|1240.3947|0.00094|16.066|0.0|9.828|0.0|0.665|0.0|2|2|2|-23.3957|23.3957|1241.4666867394922|1241.6602866884457|10651|10665|0.00094|MgII|none|--|./modified_component_groups/input_group_1.VP
