specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1250.578|3e-05|15.543|0.034|16.132|0.756|0.089|0.53|2|2|2|-31.7513|31.7513|1250.4876570740405|1250.7525568484798|11562|11582|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1253.805|3e-05|15.543|0.0|16.132|0.0|0.089|0.0|2|2|2|-31.7513|31.7513|1253.7144239525383|1253.980007276162|11803|11823|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1250.578|0.00091|15.699|0.031|19.75|0.755|3.561|0.582|2|2|2|-33.4225|33.4225|1251.5751415404973|1251.8539840669825|11643|11664|0.00092|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1253.805|0.00091|15.699|0.0|19.75|0.0|3.561|0.0|2|2|2|-33.4225|33.4225|1254.804714571329|1255.0842766249712|11885|11906|0.00092|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1317.217|0.00093|14.019|0.025|15.0|1.097|-4.784|0.757|2|2|2|-23.3957|23.3957|1318.3407051049433|1318.5462954254767|17763|17777|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1370.132|0.00093|14.019|0.0|15.0|0.0|-4.784|0.0|2|2|2|-23.3957|23.3957|1371.300846380548|1371.514695637772|22137|22152|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1454.842|0.00093|14.019|0.0|15.0|0.0|-4.784|0.0|2|2|2|-23.3957|23.3957|1456.0831116636712|1456.3101823992488|28543|28558|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1608.4511|0.0009|15.164|0.117|22.12|1.714|-0.006|0.947|2|2|2|-40.107|40.107|1609.6797916910677|1610.1101570758283|38500|38526|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1611.2005|0.0009|15.164|0.0|22.12|0.0|-0.006|0.0|2|2|2|-40.107|40.107|1612.4312919507122|1612.8623929789678|38661|38686|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1239.9253|0.00094|15.938|0.072|8.623|2.15|-4.879|1.363|2|2|2|-13.369|13.369|1241.0383509555966|1241.1489378692654|10618|10627|0.00093|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1240.3947|0.00094|15.938|0.0|8.623|0.0|-4.879|0.0|2|2|2|-13.369|13.369|1241.5081723246244|1241.6188011033134|10654|10662|0.00093|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/PGMW 3204/E140M_1425_0.2x0.2_2548.199_16815/of1n1t020/of1n1t020_continuumfit.fits|1358.773|0.00094|12.843|0.096|8.172|3.151|-0.634|1.915|2|2|2|-20.0535|20.0535|1359.9624409751757|1360.144221094244|21200|21213|0.00094|CuII|none|--|./modified_component_groups/input_group_5.VP
