specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1239.9253|0.00093|16.078|0.025|10.259|1.382|1.6|0.673|2|2|2|-21.7246|21.7246|1240.983061097458|1241.1627646253723|11719|11737|0.00093|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1240.3947|0.00093|16.078|0.0|10.259|0.0|1.6|0.0|2|2|2|-21.7246|21.7246|1241.4528615353383|1241.6326330938318|11766|11785|0.00093|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1250.578|1e-05|15.459|0.008|20.88|0.427|7.603|0.281|2|2|2|-45.1203|45.1203|1250.4040006793432|1250.7804374643767|12664|12702|4e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1253.805|1e-05|15.459|0.0|20.88|0.0|7.603|0.0|2|2|2|-45.1203|45.1203|1253.6305516903096|1254.0079598353905|12988|13026|4e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1317.217|0.00093|14.407|0.008|22.04|0.498|-0.584|0.322|2|2|2|-46.7914|46.7914|1318.2379099446762|1318.6490905857436|20478|20519|0.00093|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1370.132|0.00093|14.407|0.0|22.04|0.0|-0.584|0.0|2|2|2|-46.7914|46.7914|1371.1939217519355|1371.6216202663845|25790|25833|0.00093|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1142.3656|2e-05|14.833|0.019|22.45|1.911|-8.21|1.128|2|2|2|-48.4626|48.4626|1142.2066582951568|1142.5759938514673|1810|1847|-0.0|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1143.226|2e-05|14.833|0.0|22.45|0.0|-8.21|0.0|2|2|2|-48.4626|48.4626|1143.0669385844067|1143.4365523146332|1896|1933|-0.0|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1142.3656|0.00091|15.044|0.02|18.178|1.132|-4.986|0.657|3|3|3|-43.4492|43.4492|1143.238252018468|1143.5693802380279|1914|1947|0.00089|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1143.226|0.00091|15.044|0.0|18.178|0.0|-4.986|0.0|3|3|3|-43.4492|43.4492|1144.0993092772273|1144.430686893933|2000|2033|0.00089|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1250.578|0.00091|15.661|0.009|21.94|0.354|2.754|0.245|4|4|4|-45.1203|45.1203|1251.5333101306833|1251.909746915717|12778|12816|0.00092|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1253.805|0.00091|15.661|0.0|21.94|0.0|2.754|0.0|4|4|4|-45.1203|45.1203|1254.7627752194596|1255.1401833645407|13102|13140|0.00092|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1152.818|0.00089|13.998|0.012|27.5|1.108|2.607|0.717|2|2|2|-60.1604|60.1604|1153.6086677256176|1154.0713477574625|2954|3000|0.0009|P II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1358.773|0.00097|13.136|0.029|21.32|2.643|-1.208|1.581|2|2|2|-31.7513|31.7513|1359.9473047049491|1360.2351225469504|24662|24691|0.00097|CuII|none|--|./modified_component_groups/input_group_5.VP
