specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1133.66540|0.00002809|14.5830|10.0000|0.0000|2|2|2|-23.3957|23.3957|1133.60878|1133.78573|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1142.36560|0.00002809|14.5830|10.0000|0.0000|2|2|2|-23.3957|23.3957|1142.30855|1142.48685|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1143.22600|0.00002809|14.5830|10.0000|0.0000|2|2|2|-23.3957|23.3957|1143.16890|1143.34734|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1144.93790|0.00002809|14.5830|10.0000|0.0000|2|2|2|-23.3957|23.3957|1144.88072|1145.05942|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1260.53300|0.00002809|14.5830|10.0000|0.0000|2|2|2|-23.3957|23.3957|1260.47004|1260.66679|0.00002809|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1133.66540|0.00090883|14.8585|22.5227|0.0000|3|3|3|-40.1070|40.1070|1134.54392|1134.84752|0.00090883|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1142.36560|0.00090883|14.8585|22.5227|0.0000|3|3|3|-40.1070|40.1070|1143.25086|1143.55679|0.00090883|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1143.22600|0.00090883|14.8585|22.5227|0.0000|3|3|3|-40.1070|40.1070|1144.11192|1144.41809|0.00090883|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1144.93790|0.00090883|14.8585|22.5227|0.0000|3|3|3|-40.1070|40.1070|1145.82515|1146.13177|0.00090883|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1260.53300|0.00090883|14.8585|22.5227|0.0000|3|3|3|-40.1070|40.1070|1261.50983|1261.84741|0.00090883|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1250.57800|0.00092555|15.5483|25.8025|0.0000|4|4|4|-51.8048|51.8048|1251.51919|1251.95180|0.00092555|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1253.80500|0.00092555|15.5483|25.8025|0.0000|4|4|4|-51.8048|51.8048|1254.74862|1255.18234|0.00092555|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/LMC N11B/temp/G130M_1291_LP5_2066.368_16811/lf2l2c010/lf2l2c010_continuumfit.fits|1259.51800|0.00092555|15.5483|25.8025|0.0000|4|4|4|-51.8048|51.8048|1260.46592|1260.90162|0.00092555|SII|none|
