specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1133.66540|0.00002252|14.3335|25.9192|0.0000|2|2|2|-51.8048|51.8048|1133.49504|1133.88685|0.00002252|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1142.36560|0.00002252|14.3335|25.9192|0.0000|2|2|2|-51.8048|51.8048|1142.19394|1142.58875|0.00002252|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1143.22600|0.00002252|14.3335|25.9192|0.0000|2|2|2|-51.8048|51.8048|1143.05421|1143.44932|0.00002252|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1144.93790|0.00002252|14.3335|25.9192|0.0000|2|2|2|-51.8048|51.8048|1144.76585|1145.16155|0.00002252|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1260.53300|0.00002252|14.3335|25.9192|0.0000|2|2|2|-51.8048|51.8048|1260.34358|1260.77923|0.00002252|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1133.66540|0.00089768|14.9438|34.5624|0.0000|3|3|3|-73.5294|73.5294|1134.40480|1134.96140|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1142.36560|0.00089768|14.9438|34.5624|0.0000|3|3|3|-73.5294|73.5294|1143.11068|1143.67155|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1143.22600|0.00089768|14.9438|34.5624|0.0000|3|3|3|-73.5294|73.5294|1143.97164|1144.53293|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1144.93790|0.00089768|14.9438|34.5624|0.0000|3|3|3|-73.5294|73.5294|1145.68465|1146.24679|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1260.53300|0.00089768|14.9438|34.5624|0.0000|3|3|3|-73.5294|73.5294|1261.35515|1261.97404|0.00089768|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1250.57800|0.00089768|15.5053|24.3399|0.0000|4|4|4|-50.1337|50.1337|1251.49132|1251.90996|0.00089768|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1253.80500|0.00089768|15.5053|24.3399|0.0000|4|4|4|-50.1337|50.1337|1254.72067|1255.14039|0.00089768|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-018/G130M1291/G130M10/leal2c010_continuumfit.fits|1259.51800|0.00089768|15.5053|24.3399|0.0000|4|4|4|-50.1337|50.1337|1260.43785|1260.85948|0.00089768|SII|none|
