specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-031/G160M/G160M10/lf2l2c020_continuumfit.fits|1454.84200|0.00095900|13.7042|10.0000|0.0000|2|2|2|-25.0668|25.0668|1456.11543|1456.35896|0.00095900|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-031/G160M/G160M10/lf2l2c020_continuumfit.fits|1467.25900|0.00095900|13.7042|10.0000|0.0000|2|2|2|-25.0668|25.0668|1468.54330|1468.78890|0.00095900|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-031/G160M/G160M10/lf2l2c020_continuumfit.fits|1467.75600|0.00095900|13.7042|10.0000|0.0000|2|2|2|-25.0668|25.0668|1469.04074|1469.28642|0.00095900|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-031/G160M/G160M10/lf2l2c020_continuumfit.fits|1703.41190|0.00095900|13.7042|10.0000|0.0000|2|2|2|-25.0668|25.0668|1704.90291|1705.18804|0.00095900|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-031/G160M/G160M10/lf2l2c020_continuumfit.fits|1709.60420|0.00095900|13.7042|10.0000|0.0000|2|2|2|-25.0668|25.0668|1711.10063|1711.38679|0.00095900|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-031/G160M/G160M10/lf2l2c020_continuumfit.fits|1741.55310|0.00095900|13.7042|10.0000|0.0000|2|2|2|-25.0668|25.0668|1743.07749|1743.36901|0.00095900|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-031/G160M/G160M10/lf2l2c020_continuumfit.fits|1751.91570|0.00095900|13.7042|10.0000|0.0000|2|2|2|-25.0668|25.0668|1753.44916|1753.74241|0.00095900|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-031/G160M/G160M10/lf2l2c020_continuumfit.fits|1772.28000|0.00095900|13.7042|10.0000|0.0000|2|2|2|-25.0668|25.0668|1773.83129|1774.12795|0.00095900|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-031/G160M/G160M10/lf2l2c020_continuumfit.fits|1773.94900|0.00095900|13.7042|10.0000|0.0000|2|2|2|-25.0668|25.0668|1775.50175|1775.79869|0.00095900|NiII|none|
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-031/G160M/G160M10/lf2l2c020_continuumfit.fits|1783.31800|0.00095900|13.7042|10.0000|0.0000|2|2|2|-25.0668|25.0668|1784.87895|1785.17746|0.00095900|NiII|none|
