specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1239.9253|0.00094|15.985|0.016|10.27|0.869|-1.589|0.475|2|2|2|-31.7513|31.7513|1240.9554163787243|1241.218059678296|11717|11744|0.00093|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1240.3947|0.00094|15.985|0.0|10.27|0.0|-1.589|0.0|2|2|2|-31.7513|31.7513|1241.4252063511108|1241.6879490798694|11764|11791|0.00093|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1317.217|0.00091|13.593|0.022|8.571|1.167|4.236|0.611|2|2|2|-31.7513|31.7513|1318.2819555386793|1318.5609709109212|20484|20512|0.00093|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1370.132|0.00091|13.593|0.0|8.571|0.0|4.236|0.0|2|2|2|-31.7513|31.7513|1371.2397367374713|1371.5299606641292|25796|25826|0.00093|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1142.3656|-1e-05|14.474|0.011|20.157|0.669|6.934|0.437|2|2|2|-45.1203|45.1203|1142.1811820717712|1142.5250458162132|1808|1842|1e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1143.226|-1e-05|14.474|0.0|20.157|0.0|6.934|0.0|2|2|2|-45.1203|45.1203|1143.0414431729935|1143.385565906647|1894|1929|1e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1144.9379|-1e-05|14.474|0.0|20.157|0.0|6.934|0.0|2|2|2|-45.1203|45.1203|1144.7530668122106|1145.0977048452953|2066|2100|1e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1142.3656|0.00091|15.034|0.011|22.44|0.309|-1.406|0.274|3|3|3|-50.1337|50.1337|1143.2127805876517|1143.5948516688445|1911|1950|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1143.226|0.00091|15.034|0.0|22.44|0.0|-1.406|0.0|3|3|3|-50.1337|50.1337|1144.0738186619928|1144.4561775091672|1998|2036|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1144.9379|0.00091|15.034|0.0|22.44|0.0|-1.406|0.0|3|3|3|-50.1337|50.1337|1145.7869882104173|1146.1699196128964|2170|2208|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1250.578|0.00093|15.623|0.007|22.46|0.297|3.917|0.212|4|4|4|-45.1203|45.1203|1251.547254075383|1251.9236908604169|12780|12818|0.00094|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1253.805|0.00093|15.623|0.0|22.46|0.0|3.917|0.0|4|4|4|-45.1203|45.1203|1254.7767551452096|1255.1541632902906|13104|13142|0.00094|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/N11-ELS-032/G130M1291/G130M10/leuwbc010_continuumfit.fits|1152.818|0.0009|13.766|0.016|15.436|0.882|3.14|0.516|2|2|2|-35.0936|35.0936|1153.7243343876987|1153.994231329301|2966|2993|0.00091|P II|none|--|./modified_component_groups/input_group_1.VP
