specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/PGMW3120/E230M/E230M10/oda912010_continuumfit.fits|1808.0129|0.00095|15.989|0.331|11.249|3.598|-6.244|1.632|2|2|2|-14.2271|14.2271|1809.6495376899766|1809.8211416089093|13984|13996|0.00093|SiII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/PGMW3120/E230M/E230M10/oda912010_continuumfit.fits|2062.664|0.00095|13.272|0.057|13.238|2.38|-4.355|1.582|2|2|2|-12.3302|12.3302|2064.5311458944484|2064.7008170050726|28221|28226|0.00093|ZnII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/PGMW3120/E230M/E230M10/oda912010_continuumfit.fits|2056.2569|0.00095|13.307|0.115|4.926|2.817|-5.872|1.352|2|2|2|-10.4332|10.4332|2058.144273623166|2058.2873948986794|28011|28020|0.00093|CrII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/PGMW3120/E230M/E230M10/oda912010_continuumfit.fits|2066.161|0.00095|13.307|0.0|4.926|0.0|-5.872|0.0|2|2|2|-10.4332|10.4332|2068.0574642854767|2068.201274914263|28383|28392|0.00093|CrII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/PGMW3120/E230M/E230M10/oda912010_continuumfit.fits|2249.8768|0.00094|15.198|0.035|15.0|1.671|-5.235|1.109|2|2|2|-14.2271|14.2271|2251.8849354182857|2252.098477963251|36626|36638|0.00092|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/PGMW3120/E230M/E230M10/oda912010_continuumfit.fits|2260.7805|0.00094|15.198|0.0|15.0|0.0|-5.235|0.0|2|2|2|-14.2271|14.2271|2262.798367553912|2263.0129450016984|37213|37219|0.00092|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/PGMW3120/E230M/E230M10/oda912010_continuumfit.fits|1709.6042|0.00096|13.987|0.101|15.0|5.039|-6.974|3.251|2|2|2|-15.1756|15.1756|1711.1517502146808|1711.3248317502914|7360|7372|0.00093|NiII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/PGMW3120/E230M/E230M10/oda912010_continuumfit.fits|1741.5531|0.00096|13.987|0.0|15.0|0.0|-6.974|0.0|2|2|2|-15.1756|15.1756|1743.1295706671774|1743.3058867319692|9608|9621|0.00093|NiII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/PGMW3120/E230M/E230M10/oda912010_continuumfit.fits|1751.9157|0.00096|13.987|0.0|15.0|0.0|-6.974|0.0|2|2|2|-15.1756|15.1756|1753.501550992667|1753.6789161743955|10310|10322|0.00093|NiII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/PGMW3120/E230M/E230M10/oda912010_continuumfit.fits|2056.2569|0.00094|13.316|0.128|4.656|2.832|-3.593|1.319|2|2|2|-11.3817|11.3817|2058.1182540455998|2058.2743867202835|28010|28019|0.00093|CrII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/LMC/PGMW3120/E230M/E230M10/oda912010_continuumfit.fits|2066.161|0.00094|13.316|0.0|4.656|0.0|-3.593|0.0|2|2|2|-11.3817|11.3817|2068.0313193828606|2068.1882040810992|28382|28391|0.00093|CrII|none|--|./modified_component_groups/input_group_5.VP
