specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/RMC-140/E140M/E140M20/oec159010_continuumfit.fits|1250.578|0.00089|16.292|0.076|21.23|0.846|9.041|0.396|2|2|2|-55.1471|55.1471|1251.4636081595163|1251.9236981196434|11636|11670|0.00092|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/RMC-140/E140M/E140M20/oec159010_continuumfit.fits|1253.805|0.00089|16.292|0.0|21.23|0.0|9.041|0.0|2|2|2|-55.1471|55.1471|1254.692893388851|1255.154170568249|11877|11912|0.00092|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/RMC-140/E140M/E140M20/oec159010_continuumfit.fits|1355.5977|0.00094|17.0|0.88|4.0|20.156|3.9|11.318|2|2|2|-21.7246|21.7246|1356.76925434733|1356.96572238385|20981|20994|0.00095|O I|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/RMC-140/E140M/E140M20/oec159010_continuumfit.fits|1317.217|0.00094|13.999|0.028|20.91|1.665|-5.486|1.143|2|2|2|-36.7647|36.7647|1318.296638685206|1318.619709439974|17760|17783|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/RMC-140/E140M/E140M20/oec159010_continuumfit.fits|1370.132|0.00094|13.999|0.0|20.91|0.0|-5.486|0.0|2|2|2|-36.7647|36.7647|1371.2550097326703|1371.5910588266097|22135|22158|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/RMC-140/E140M/E140M20/oec159010_continuumfit.fits|1454.842|0.00094|13.999|0.0|20.91|0.0|-5.486|0.0|2|2|2|-36.7647|36.7647|1456.0344411118763|1456.3912668308035|28541|28564|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/RMC-140/E140M/E140M20/oec159010_continuumfit.fits|1608.4511|0.00093|15.784|0.043|19.86|0.413|-7.979|0.53|2|2|2|-33.4225|33.4225|1609.7694581624262|1610.1280959830594|38507|38527|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/RMC-140/E140M/E140M20/oec159010_continuumfit.fits|1611.2005|0.00093|15.784|0.0|19.86|0.0|-7.979|0.0|2|2|2|-33.4225|33.4225|1612.5211116931252|1612.8803625500043|38667|38688|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/RMC-140/E140M/E140M20/oec159010_continuumfit.fits|1239.9253|0.00093|16.42|0.051|17.29|2.058|-4.236|1.55|2|2|2|-31.7513|31.7513|1240.9415912116294|1241.2042345112009|10612|10632|0.00091|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/RMC-140/E140M/E140M20/oec159010_continuumfit.fits|1240.3947|0.00093|16.42|0.0|17.29|0.0|-4.236|0.0|2|2|2|-31.7513|31.7513|1241.4113759502056|1241.6741186789645|10647|10667|0.00091|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/RMC-140/E140M/E140M20/oec159010_continuumfit.fits|1358.773|0.0009|12.666|0.146|5.807|4.292|-17.125|2.432|2|2|2|-28.4091|28.4091|1359.871550907886|1360.1290725166136|21195|21213|0.00085|CuII|none|--|./modified_component_groups/input_group_5.VP
