specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-440/E140M/E140M10/ody219010_continuumfit.fits|1250.578|0.00094|16.167|0.133|22.63|1.795|-5.371|0.974|2|2|2|-36.7647|36.7647|1251.6030189510668|1251.909745313053|11646|11669|0.00092|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-440/E140M/E140M10/ody219010_continuumfit.fits|1253.805|0.00094|16.167|0.0|22.63|0.0|-5.371|0.0|2|2|2|-36.7647|36.7647|1254.8326639169588|1255.1401817577412|11888|11911|0.00092|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-440/E140M/E140M10/ody219010_continuumfit.fits|1317.217|0.00091|14.107|0.04|24.852|2.652|5.341|1.91|2|2|2|-31.7513|31.7513|1318.2819555386793|1318.5609709109212|17759|17779|0.00093|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-440/E140M/E140M10/ody219010_continuumfit.fits|1370.132|0.00091|14.107|0.0|24.852|0.0|5.341|0.0|2|2|2|-31.7513|31.7513|1371.2397367374713|1371.5299606641292|22134|22154|0.00093|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-440/E140M/E140M10/ody219010_continuumfit.fits|1454.842|0.00091|14.107|0.0|24.852|0.0|5.341|0.0|2|2|2|-31.7513|31.7513|1456.0182238460354|1456.326391203565|28540|28560|0.00093|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-440/E140M/E140M10/ody219010_continuumfit.fits|1358.773|0.00095|12.617|0.222|4.0|3.659|-1.311|2.436|2|2|2|-15.0401|15.0401|1359.9927455567088|1360.1290804193911|21203|21213|0.00094|CuII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-440/E140M/E140M10/ody219010_continuumfit.fits|1608.4511|0.0009|15.762|0.103|20.0|1.018|2.156|1.209|2|2|2|-13.369|13.369|1609.8232468193212|1609.9667019475748|38510|38518|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-440/E140M/E140M10/ody219010_continuumfit.fits|1611.2005|0.0009|15.762|0.0|20.0|0.0|2.156|0.0|2|2|2|-13.369|13.369|1612.574992293464|1612.718692636216|38670|38678|0.0009|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-440/E140M/E140M10/ody219010_continuumfit.fits|1239.9253|0.00093|16.5|0.052|19.937|2.451|-2.239|1.849|2|2|2|-31.7513|31.7513|1240.9415912116294|1241.2042345112009|10612|10632|0.00092|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-440/E140M/E140M10/ody219010_continuumfit.fits|1240.3947|0.00093|16.5|0.0|19.937|0.0|-2.239|0.0|2|2|2|-31.7513|31.7513|1241.4113759502056|1241.6741186789645|10647|10667|0.00092|MgII|none|--|./modified_component_groups/input_group_1.VP
