specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1239.9253|0.00091|16.363|0.014|16.934|0.865|-0.24|0.553|2|2|2|-31.7513|31.7513|1240.9277660445346|1241.190409344106|11715|11741|0.00091|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1240.3947|0.00091|16.363|0.0|16.934|0.0|-0.24|0.0|2|2|2|-31.7513|31.7513|1241.3975455493007|1241.6602882780596|11762|11788|0.00091|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1317.217|0.00093|14.006|0.013|22.9|1.116|-3.192|0.727|2|2|2|-41.7781|41.7781|1318.2525871257033|1318.619713262997|20482|20518|0.00091|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1370.132|0.00093|14.006|0.0|22.9|0.0|-3.192|0.0|2|2|2|-41.7781|41.7781|1371.2091885419895|1371.5910628032107|25794|25832|0.00091|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1142.3656|8e-05|14.583|0.012|29.14|0.978|-9.763|0.683|2|2|2|-66.8449|66.8449|1142.2066620047933|1142.7160898590153|1811|1862|5e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1143.226|8e-05|14.583|0.0|29.14|0.0|-9.763|0.0|2|2|2|-66.8449|66.8449|1143.0669422968372|1143.5767538388434|1897|1948|5e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1144.9379|8e-05|14.583|0.0|29.14|0.0|-9.763|0.0|2|2|2|-66.8449|66.8449|1144.778604119187|1145.289179067885|2069|2120|5e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1142.3656|0.00088|15.415|0.014|26.42|0.362|3.134|0.347|3|3|3|-68.516|68.516|1143.110896709424|1143.633060088528|1901|1954|0.00089|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1143.226|0.00088|15.415|0.0|26.42|0.0|3.134|0.0|3|3|3|-68.516|68.516|1143.9718580474832|1144.4944147064368|1988|2040|0.00089|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1144.9379|0.00088|15.415|0.0|26.42|0.0|3.134|0.0|3|3|3|-68.516|68.516|1145.6848749171058|1146.2082140676619|2160|2212|0.00089|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1250.578|0.00089|15.93|0.011|27.25|0.371|11.127|0.251|4|4|4|-70.1872|70.1872|1251.3938904701045|1251.9794593585757|12765|12823|0.00092|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1253.805|0.00089|15.93|0.0|27.25|0.0|11.127|0.0|4|4|4|-70.1872|70.1872|1254.6229957994378|1255.2100756938623|13089|13148|0.00092|S II|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1152.818|0.00091|14.202|0.013|27.07|0.833|-1.01|0.536|2|2|2|-70.1872|70.1872|1153.595818641338|1154.135612524542|2953|3007|0.00091|P II|none|--|./modified_component_groups/input_group_1.VP
