specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1133.66540|0.00008384|14.4392|38.2889|0.0000|2|2|2|-66.8449|66.8449|1133.50768|1134.01327|0.00008384|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1142.36560|0.00008384|14.4392|38.2889|0.0000|2|2|2|-66.8449|66.8449|1142.20667|1142.71614|0.00008384|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1143.22600|0.00008384|14.4392|38.2889|0.0000|2|2|2|-66.8449|66.8449|1143.06695|1143.57680|0.00008384|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1144.93790|0.00008384|14.4392|38.2889|0.0000|2|2|2|-66.8449|66.8449|1144.77861|1145.28923|0.00008384|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1260.53300|0.00008384|14.4392|38.2889|0.0000|2|2|2|-66.8449|66.8449|1260.35763|1260.91980|0.00008384|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1133.66540|0.00088096|15.1870|32.8391|0.0000|3|3|3|-68.5160|68.5160|1134.40482|1134.92346|0.00088096|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1142.36560|0.00088096|15.1870|32.8391|0.0000|3|3|3|-68.5160|68.5160|1143.11069|1143.63332|0.00088096|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1143.22600|0.00088096|15.1870|32.8391|0.0000|3|3|3|-68.5160|68.5160|1143.97165|1144.49467|0.00088096|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1144.93790|0.00088096|15.1870|32.8391|0.0000|3|3|3|-68.5160|68.5160|1145.68467|1146.20847|0.00088096|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1260.53300|0.00088096|15.1870|32.8391|0.0000|3|3|3|-68.5160|68.5160|1261.35517|1261.93185|0.00088096|FeII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1250.57800|0.00088653|15.8194|34.5065|0.0000|4|4|4|-70.1872|70.1872|1251.39367|1251.97975|0.00088653|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1253.80500|0.00088653|15.8194|34.5065|0.0000|4|4|4|-70.1872|70.1872|1254.62277|1255.21037|0.00088653|SII|none|
/Users/billyli/Documents/float-for-morrow/LMC/VFTS-506/G130M1291/G130M10/leuj2c010_continuumfit.fits|1259.51800|0.00088653|15.8194|34.5065|0.0000|4|4|4|-70.1872|70.1872|1260.33950|1260.92978|0.00088653|SII|none|
