specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M/G130M20/leeyac010_continuumfit.fits|1239.9253|0.00045|15.686|0.022|14.318|1.528|2.165|0.922|2|2|2|-30.0802|30.0802|1240.3610137839419|1240.6098339261023|11604|11629|0.00046|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M/G130M20/leeyac010_continuumfit.fits|1240.3947|0.00045|15.686|0.0|14.318|0.0|2.165|0.0|2|2|2|-30.0802|30.0802|1240.8305787326287|1241.0794930709271|11651|11676|0.00046|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M/G130M20/leeyac010_continuumfit.fits|1250.578|0.00049|15.334|0.031|7.697|0.298|-3.079|0.194|2|2|2|-40.107|40.107|1251.0174499181487|1251.3520609499315|12674|12707|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M/G130M20/leeyac010_continuumfit.fits|1253.805|0.00049|15.334|0.0|7.697|0.0|-3.079|0.0|2|2|2|-40.107|40.107|1254.2455838777146|1254.5810583420857|12998|13031|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M/G130M20/leeyac010_continuumfit.fits|1317.217|0.00046|13.481|0.024|12.407|1.475|0.747|0.855|2|2|2|-28.4091|28.4091|1317.6945536547405|1317.9441993577998|20371|20396|0.00046|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M/G130M20/leeyac010_continuumfit.fits|1370.132|0.00046|13.481|0.0|12.407|0.0|0.747|0.0|2|2|2|-28.4091|28.4091|1370.6287378526672|1370.888412277173|25680|25706|0.00046|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M/G130M20/leeyac010_continuumfit.fits|1142.3656|0.00047|14.403|0.012|18.36|0.651|-2.187|0.418|2|2|2|-35.0936|35.0936|1142.7670276724534|1143.0344775054987|1811|1838|0.00046|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M/G130M20/leeyac010_continuumfit.fits|1143.226|0.00047|14.403|0.0|18.36|0.0|-2.187|0.0|2|2|2|-35.0936|35.0936|1143.6277300173151|1143.895381286605|1898|1924|0.00046|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M/G130M20/leeyac010_continuumfit.fits|1144.9379|0.00047|14.403|0.0|18.36|0.0|-2.187|0.0|2|2|2|-35.0936|35.0936|1145.3402315795752|1145.6082836376925|2069|2096|0.00046|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M/G130M20/leeyac010_continuumfit.fits|1152.818|0.00049|13.35|0.021|13.356|1.487|-3.42|0.831|2|2|2|-28.4091|28.4091|1153.274512979819|1153.4930009435407|2866|2887|0.00048|P II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M/G130M20/leeyac010_continuumfit.fits|1358.773|0.00042|12.399|0.099|15.0|6.726|-6.664|3.844|2|2|2|-15.0401|15.0401|1359.280775680169|1359.417110542851|24542|24556|0.0004|CuII|none|--|./modified_component_groups/input_group_5.VP
