specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M1291/G130M20/leeyac010_continuumfit.fits|1239.9253|0.00044|15.686|0.022|14.269|1.527|5.515|0.921|2|2|2|-30.0802|30.0802|1240.3471886168468|1240.5960087590072|11603|11628|0.00046|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M1291/G130M20/leeyac010_continuumfit.fits|1240.3947|0.00044|15.686|0.0|14.269|0.0|5.515|0.0|2|2|2|-30.0802|30.0802|1240.8167483317238|1241.0656626700222|11650|11675|0.00046|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M1291/G130M20/leeyac010_continuumfit.fits|1250.578|0.00047|15.535|0.109|5.568|0.386|1.167|0.193|2|2|2|-28.4091|28.4091|1251.0453378004108|1251.2823537393492|12677|12700|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M1291/G130M20/leeyac010_continuumfit.fits|1253.805|0.00047|15.535|0.0|5.568|0.0|1.167|0.0|2|2|2|-28.4091|28.4091|1254.2735437220583|1254.511171258542|13000|13024|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M1291/G130M20/leeyac010_continuumfit.fits|1317.217|0.00049|13.482|0.024|12.563|1.481|-6.512|0.861|2|2|2|-26.738|26.738|1317.7386069098259|1317.9735677782944|20375|20399|0.00046|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M1291/G130M20/leeyac010_continuumfit.fits|1370.132|0.00049|13.482|0.0|12.563|0.0|-6.512|0.0|2|2|2|-26.738|26.738|1370.6745608070453|1370.918960480475|25685|25710|0.00046|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M1291/G130M20/leeyac010_continuumfit.fits|1142.3656|0.00047|14.315|0.012|20.182|0.83|-3.675|0.53|2|2|2|-55.1471|55.1471|1142.6906133800044|1143.1108917979477|1804|1846|0.00046|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M1291/G130M20/leeyac010_continuumfit.fits|1143.226|0.00047|14.315|0.0|20.182|0.0|-3.675|0.0|2|2|2|-55.1471|55.1471|1143.5512581716125|1143.9718531323078|1890|1932|0.00046|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M1291/G130M20/leeyac010_continuumfit.fits|1144.9379|0.00047|14.315|0.0|20.182|0.0|-3.675|0.0|2|2|2|-55.1471|55.1471|1145.2636452226975|1145.6848699945704|2062|2104|0.00046|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M1291/G130M20/leeyac010_continuumfit.fits|1152.818|0.0005|13.358|0.021|13.309|1.48|-6.783|0.831|2|2|2|-35.0936|35.0936|1153.261662411579|1153.5315593531814|2864|2891|0.00048|P II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/2DFS-3694/G130M1291/G130M20/leeyac010_continuumfit.fits|1358.773|0.00042|12.399|0.099|15.0|6.726|-6.664|3.844|2|2|2|-15.0401|15.0401|1359.280775680169|1359.417110542851|24542|24556|0.0004|CuII|none|--|./modified_component_groups/input_group_5.VP
