specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M10/o4wr14010_continuumfit.fits|1250.578|0.00043|16.122|0.185|14.225|1.304|-2.893|0.473|2|2|2|-40.107|40.107|1250.9477427004285|1251.2823537322113|11592|11617|0.00042|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M10/o4wr14010_continuumfit.fits|1253.805|0.00043|16.122|0.0|14.225|0.0|-2.893|0.0|2|2|2|-40.107|40.107|1254.1756967870144|1254.5111712513856|11833|11858|0.00042|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M10/o4wr14010_continuumfit.fits|1355.5977|0.00047|18.058|0.162|4.0|6.655|-10.697|2.204|2|2|2|-15.0401|15.0401|1356.164735166837|1356.300751430247|20933|20943|0.00043|O I|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M10/o4wr14010_continuumfit.fits|1317.217|0.00041|14.266|0.053|7.888|0.775|5.905|0.438|2|2|2|-38.4358|38.4358|1317.5917640055604|1317.9295195949194|17705|17729|0.00043|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M10/o4wr14010_continuumfit.fits|1370.132|0.00041|14.266|0.0|7.888|0.0|5.905|0.0|2|2|2|-38.4358|38.4358|1370.5218189565323|1370.8731428015476|22079|22103|0.00043|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M10/o4wr14010_continuumfit.fits|1454.842|0.00041|14.266|0.0|7.888|0.0|5.905|0.0|2|2|2|-38.4358|38.4358|1455.255919965638|1455.628964814842|28484|28509|0.00043|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M10/o4wr14010_continuumfit.fits|1611.2005|0.00041|15.128|0.423|4.0|10.055|6.076|3.204|2|2|2|-48.4626|48.4626|1611.605017933482|1612.1259314072377|38608|38638|0.00043|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M10/o4wr14010_continuumfit.fits|1239.9253|0.00044|16.438|0.126|7.536|1.487|-0.582|0.907|2|2|2|-21.7246|21.7246|1240.374840540049|1240.5545440679634|10564|10577|0.00043|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M10/o4wr14010_continuumfit.fits|1240.3947|0.00044|16.438|0.0|7.536|0.0|-0.582|0.0|2|2|2|-21.7246|21.7246|1240.8444107231473|1241.0241822816408|10599|10613|0.00043|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M10/o4wr14010_continuumfit.fits|1358.773|0.00057|12.26|0.264|4.0|19.968|-1.897|6.258|2|2|2|-15.0401|15.0401|1359.4777026510587|1359.6140375137409|21162|21171|0.00056|CuII|none|--|./modified_component_groups/input_group_5.VP
