specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M20/o4wr14020_continuumfit.fits|1250.578|0.00041|16.202|0.479|15.008|3.378|-0.672|1.218|2|2|2|-35.0936|35.0936|1250.9477463300418|1251.2405307742779|11592|11613|0.00041|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M20/o4wr14020_continuumfit.fits|1253.805|0.00041|16.202|0.0|15.008|0.0|-0.672|0.0|2|2|2|-35.0936|35.0936|1254.1757004259937|1254.4692403732063|11833|11855|0.00041|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M20/o4wr14020_continuumfit.fits|1317.217|0.00043|14.186|0.048|13.489|2.216|-0.31|1.418|2|2|2|-30.0802|30.0802|1317.6505003996547|1317.9148309373056|17709|17728|0.00043|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M20/o4wr14020_continuumfit.fits|1370.132|0.00043|14.186|0.0|13.489|0.0|-0.31|0.0|2|2|2|-30.0802|30.0802|1370.582914898289|1370.857864073871|22084|22102|0.00043|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M20/o4wr14020_continuumfit.fits|1454.842|0.00043|14.186|0.0|13.489|0.0|-0.31|0.0|2|2|2|-30.0802|30.0802|1455.3207932348537|1455.6127414621064|28489|28508|0.00043|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M20/o4wr14020_continuumfit.fits|1358.773|0.00044|13.195|0.103|20.0|7.924|-0.013|4.986|2|2|2|-11.6979|11.6979|1359.3110741157557|1359.4171127451643|21150|21158|0.00043|CuII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M20/o4wr14020_continuumfit.fits|1608.4511|0.00041|15.497|0.182|34.4|4.028|6.601|3.252|2|2|2|-48.4626|48.4626|1608.854927652163|1609.3749522238206|38448|38478|0.00043|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M20/o4wr14020_continuumfit.fits|1611.2005|0.00041|15.497|0.0|34.4|0.0|6.601|0.0|2|2|2|-48.4626|48.4626|1611.605017933482|1612.1259314072377|38608|38638|0.00043|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M20/o4wr14020_continuumfit.fits|1239.9253|0.00044|16.499|0.35|8.094|3.969|-0.782|2.389|2|2|2|-21.7246|21.7246|1240.374840540049|1240.5545440679634|10564|10577|0.00043|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV15/E140M/E140M20/o4wr14020_continuumfit.fits|1240.3947|0.00044|16.499|0.0|8.094|0.0|-0.782|0.0|2|2|2|-21.7246|21.7246|1240.8444107231473|1241.0241822816408|10599|10613|0.00043|MgII|none|--|./modified_component_groups/input_group_1.VP
