specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
/Users/billyli/Documents/float-for-morrow/SMC/AV314/E230M/E230M10/oemubs010_continuumfit.fits|2344.2139|0.00049|15.604|0.06|25.06|0.434|-3.374|0.218|2|2|2|-56.8182|56.8182|2344.906978291635|2345.7955531083703|2516|2539|0.00047|FeII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/AV314/E230M/E230M10/oemubs010_continuumfit.fits|2374.4612|0.00049|15.604|0.0|25.06|0.0|-3.374|0.0|2|2|2|-56.8182|56.8182|2375.163221053646|2376.063261116387|3617|3640|0.00047|FeII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/AV314/E230M/E230M10/oemubs010_continuumfit.fits|2382.7652|0.00049|15.604|0.0|25.06|0.0|-3.374|0.0|2|2|2|-56.8182|56.8182|2383.4696761718124|2384.3728638676594|3875|3922|0.00047|FeII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/AV314/E230M/E230M10/oemubs010_continuumfit.fits|2586.65|0.00049|15.604|0.0|25.06|0.0|-3.374|0.0|2|2|2|-56.8182|56.8182|2587.4147557089636|2588.395225985037|10823|10846|0.00047|FeII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/AV314/E230M/E230M10/oemubs010_continuumfit.fits|2600.1729|0.00049|15.604|0.0|25.06|0.0|-3.374|0.0|2|2|2|-56.8182|56.8182|2600.9416538204114|2601.9272499548333|11267|11313|0.00047|FeII|none|-- 
specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
/Users/billyli/Documents/float-for-morrow/SMC/AV314/E230M/E230M10/oemubs010_continuumfit.fits|2344.2139|0.00049|14.794|0.011|37.668|0.336|-5.206|0.306|2|2|2|-56.8182|56.8182|2344.906978291635|2345.7955531083703|2516|2539|0.00047|FeII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/AV314/E230M/E230M10/oemubs010_continuumfit.fits|2374.4612|0.00049|14.794|0.0|37.668|0.0|-5.206|0.0|2|2|2|-56.8182|56.8182|2375.163221053646|2376.063261116387|3617|3640|0.00047|FeII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/AV314/E230M/E230M10/oemubs010_continuumfit.fits|2382.7652|0.00049|14.794|0.0|37.668|0.0|-5.206|0.0|2|2|2|-56.8182|56.8182|2383.4696761718124|2384.3728638676594|3875|3922|0.00047|FeII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/AV314/E230M/E230M10/oemubs010_continuumfit.fits|2586.65|0.00049|14.794|0.0|37.668|0.0|-5.206|0.0|2|2|2|-56.8182|56.8182|2587.4147557089636|2588.395225985037|10823|10846|0.00047|FeII|none|-- 
/Users/billyli/Documents/float-for-morrow/SMC/AV314/E230M/E230M10/oemubs010_continuumfit.fits|2600.1729|0.00049|14.794|0.0|37.668|0.0|-5.206|0.0|2|2|2|-56.8182|56.8182|2600.9416538204114|2601.9272499548333|11267|11313|0.00047|FeII|none|-- 
