specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G130M1291/G130M10/lb2a03010_continuumfit.fits|1250.578|0.00046|15.62|0.013|22.364|0.583|1.619|0.391|2|2|2|-41.7781|41.7781|1250.9756253504136|1251.3241782999464|12665|12700|0.00046|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G130M1291/G130M10/lb2a03010_continuumfit.fits|1253.805|0.00046|15.62|0.0|22.364|0.0|1.619|0.0|2|2|2|-41.7781|41.7781|1254.2036513855796|1254.5531037435205|12989|13024|0.00046|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G130M1291/G130M10/lb2a03010_continuumfit.fits|1355.5977|0.00041|17.922|0.151|14.42|10.036|-3.227|5.79|2|2|2|-16.7112|16.7112|1356.0740535572793|1356.2251825378771|24212|24227|0.0004|O I|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G130M1291/G130M10/lb2a03010_continuumfit.fits|1317.217|0.0005|13.969|0.022|21.42|1.798|-7.636|1.153|2|2|2|-38.4358|38.4358|1317.7092465897908|1318.0470021791498|20362|20396|0.00048|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G130M1291/G130M10/lb2a03010_continuumfit.fits|1370.132|0.0005|13.969|0.0|21.42|0.0|-7.636|0.0|2|2|2|-38.4358|38.4358|1370.6440210296125|1370.9953448746278|25674|25709|0.00048|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G130M1291/G130M10/lb2a03010_continuumfit.fits|1142.3656|0.00042|15.29|0.034|21.771|0.547|3.55|0.595|2|2|2|-60.1604|60.1604|1142.6141976105296|1143.0726826031187|1788|1834|0.00043|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G130M1291/G130M10/lb2a03010_continuumfit.fits|1144.9379|0.00042|15.29|0.0|21.771|0.0|3.55|0.0|2|2|2|-60.1604|60.1604|1145.187057385468|1145.646574762914|2046|2092|0.00043|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G130M1291/G130M10/lb2a03010_continuumfit.fits|1239.9253|0.00046|15.793|0.047|21.82|4.218|-6.49|2.71|2|2|2|-30.0802|30.0802|1240.374838951037|1240.6236590931974|11601|11626|0.00044|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G130M1291/G130M10/lb2a03010_continuumfit.fits|1240.3947|0.00046|15.793|0.0|21.82|0.0|-6.49|0.0|2|2|2|-30.0802|30.0802|1240.8444091335339|1241.0933234718325|11648|11673|0.00044|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G130M1291/G130M10/lb2a03010_continuumfit.fits|1358.773|0.00059|12.932|0.069|14.396|4.543|-3.925|2.687|2|2|2|-21.7246|21.7246|1359.4777066024476|1359.6746348381525|24553|24573|0.00058|CuII|none|--|./modified_component_groups/input_group_5.VP
