specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G160M1623/G160M10/lb2a03040_continuumfit.fits|1454.84200|0.00045731|14.0588|19.3624|0.0000|2|2|2|-28.4091|28.4091|1455.36940|1455.64525|0.00045731|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G160M1623/G160M10/lb2a03040_continuumfit.fits|1467.25900|0.00045731|14.0588|19.3624|0.0000|2|2|2|-28.4091|28.4091|1467.79090|1468.06911|0.00045731|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G160M1623/G160M10/lb2a03040_continuumfit.fits|1467.75600|0.00045731|14.0588|19.3624|0.0000|2|2|2|-28.4091|28.4091|1468.28808|1468.56638|0.00045731|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G160M1623/G160M10/lb2a03040_continuumfit.fits|1703.41190|0.00045731|14.0588|19.3624|0.0000|2|2|2|-28.4091|28.4091|1704.02941|1704.35239|0.00045731|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G160M1623/G160M10/lb2a03040_continuumfit.fits|1709.60420|0.00045731|14.0588|19.3624|0.0000|2|2|2|-28.4091|28.4091|1710.22395|1710.54811|0.00045731|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G160M1623/G160M10/lb2a03040_continuumfit.fits|1741.55310|0.00045731|14.0588|19.3624|0.0000|2|2|2|-28.4091|28.4091|1742.18443|1742.51465|0.00045731|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G160M1623/G160M10/lb2a03040_continuumfit.fits|1751.91570|0.00045731|14.0588|19.3624|0.0000|2|2|2|-28.4091|28.4091|1752.55079|1752.88297|0.00045731|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G160M1623/G160M10/lb2a03040_continuumfit.fits|1772.28000|0.00045731|14.0588|19.3624|0.0000|2|2|2|-28.4091|28.4091|1772.92247|1773.25852|0.00045731|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G160M1623/G160M10/lb2a03040_continuumfit.fits|1773.94900|0.00045731|14.0588|19.3624|0.0000|2|2|2|-28.4091|28.4091|1774.59208|1774.92844|0.00045731|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/AV446/G160M1623/G160M10/lb2a03040_continuumfit.fits|1783.31800|0.00045731|14.0588|19.3624|0.0000|2|2|2|-28.4091|28.4091|1783.96447|1784.30261|0.00045731|NiII|none|
