specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/NGC330-A02/E230M/E230M10/o6df22020_continuumfit.fits|1808.0129|0.00046|16.091|0.086|21.89|2.596|-1.069|1.697|2|2|2|-35.0936|35.0936|1808.6280770232725|1809.0513677353256|13918|13946|0.00045|SiII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC330-A02/E230M/E230M10/o6df22020_continuumfit.fits|2056.2569|0.00042|13.76|0.026|15.0|1.224|7.167|0.801|2|2|2|-13.369|13.369|2057.0253146003834|2057.2087087970185|27946|27957|0.00044|CrII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC330-A02/E230M/E230M10/o6df22020_continuumfit.fits|2062.234|0.00042|13.76|0.0|15.0|0.0|7.167|0.0|2|2|2|-13.369|13.369|2063.004648217646|2063.1885755020744|28177|28183|0.00044|CrII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC330-A02/E230M/E230M10/o6df22020_continuumfit.fits|2066.161|0.00042|13.76|0.0|15.0|0.0|7.167|0.0|2|2|2|-13.369|13.369|2066.933115721116|2067.1173932482648|28319|28330|0.00044|CrII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC330-A02/E230M/E230M10/o6df22020_continuumfit.fits|2062.664|0.00046|13.752|0.036|19.7|1.435|-14.888|0.969|3|3|3|-26.738|26.738|2063.4348209035343|2063.8027521743866|28190|28201|0.00041|ZnII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC330-A02/E230M/E230M10/o6df22020_continuumfit.fits|2249.8768|0.00044|15.392|0.02|17.165|1.002|-3.352|0.709|2|2|2|-26.738|26.738|2250.6674103798273|2251.0687360587967|36562|36584|0.00043|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC330-A02/E230M/E230M10/o6df22020_continuumfit.fits|2260.7805|0.00044|15.392|0.0|17.165|0.0|-3.352|0.0|2|2|2|-26.738|26.738|2261.574941957804|2261.978212603185|37158|37180|0.00043|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC330-A02/E230M/E230M10/o6df22020_continuumfit.fits|1703.4119|0.00045|14.303|0.069|15.0|2.809|-0.904|1.897|2|2|2|-16.7112|16.7112|1704.0864467464246|1704.2763518369873|6855|6868|0.00045|NiII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC330-A02/E230M/E230M10/o6df22020_continuumfit.fits|1709.6042|0.00045|14.303|0.0|15.0|0.0|-0.904|0.0|2|2|2|-16.7112|16.7112|1710.281198881353|1710.4717943212627|7300|7313|0.00045|NiII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC330-A02/E230M/E230M10/o6df22020_continuumfit.fits|1741.5531|0.00045|14.303|0.0|15.0|0.0|-0.904|0.0|2|2|2|-16.7112|16.7112|1742.2427505638657|1742.436907830922|9548|9562|0.00045|NiII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC330-A02/E230M/E230M10/o6df22020_continuumfit.fits|1751.9157|0.00045|14.303|0.0|15.0|0.0|-0.904|0.0|2|2|2|-16.7112|16.7112|1752.6094541269056|1752.8047666697303|10250|10263|0.00045|NiII|none|--|./modified_component_groups/input_group_1.VP
