specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1055.26170|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1055.45597|1055.97384|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1062.15170|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1062.34724|1062.86849|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1063.17640|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1063.37213|1063.89388|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1063.97180|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1064.16768|1064.68982|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1081.87480|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1082.07397|1082.60490|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1096.87690|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1097.07883|1097.61712|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1106.35960|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1106.56328|1107.10622|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1112.04800|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1112.25273|1112.79846|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1121.97480|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1122.18135|1122.73196|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1125.44770|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1125.65489|1126.20720|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1133.66540|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1133.87411|1134.43045|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1142.36560|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1142.57591|1143.13652|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1143.22600|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1143.43647|1143.99750|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-ELS-13/G130M1096/G130M10/lek63c030_continuumfit.fits|1144.93790|0.00042944|14.6510|41.1156|0.0000|2|2|2|-73.5294|73.5294|1145.14868|1145.71056|0.00042944|FeII|none|
