specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-342/E140M/E140M10/oe4x18010_continuumfit.fits|1250.578|0.00047|15.628|0.025|18.44|0.592|-1.198|0.421|2|2|2|-33.4225|33.4225|1251.0314027318775|1251.3102452583626|11602|11623|0.00047|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-342/E140M/E140M10/oe4x18010_continuumfit.fits|1253.805|0.00047|15.628|0.0|18.44|0.0|-1.198|0.0|2|2|2|-33.4225|33.4225|1254.2595726953791|1254.5391347490213|11843|11864|0.00047|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-342/E140M/E140M10/oe4x18010_continuumfit.fits|1355.5977|0.00036|17.778|0.125|4.501|2.081|0.915|1.399|2|2|2|-15.0401|15.0401|1356.0136131352413|1356.1496293986509|20927|20936|0.00036|O I|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-342/E140M/E140M10/oe4x18010_continuumfit.fits|1317.217|0.00049|13.626|0.037|14.746|1.634|-0.34|1.12|2|2|2|-25.0668|25.0668|1317.7532998373574|1317.9735749924826|17720|17736|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-342/E140M/E140M10/oe4x18010_continuumfit.fits|1370.132|0.00049|13.626|0.0|14.746|0.0|-0.34|0.0|2|2|2|-25.0668|25.0668|1370.6898439761696|1370.9189679844703|22095|22111|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-342/E140M/E140M10/oe4x18010_continuumfit.fits|1454.842|0.00049|13.626|0.0|14.746|0.0|-0.34|0.0|2|2|2|-25.0668|25.0668|1455.4343333269924|1455.6776231928477|28500|28516|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-342/E140M/E140M10/oe4x18010_continuumfit.fits|1608.4511|0.0005|14.952|0.08|21.35|1.442|-13.709|0.911|2|2|2|-40.107|40.107|1609.0342398420828|1609.4646052268433|38462|38487|0.00045|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-342/E140M/E140M10/oe4x18010_continuumfit.fits|1611.2005|0.0005|14.952|0.0|21.35|0.0|-13.709|0.0|2|2|2|-40.107|40.107|1611.7846366300373|1612.2157376582927|38622|38647|0.00045|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-342/E140M/E140M10/oe4x18010_continuumfit.fits|1239.9253|0.00046|15.811|0.06|18.95|3.247|-0.786|2.238|2|2|2|-28.4091|28.4091|1240.3748317465688|1240.6098287313175|10568|10585|0.00045|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-342/E140M/E140M10/oe4x18010_continuumfit.fits|1240.3947|0.00046|15.811|0.0|18.95|0.0|-0.786|0.0|2|2|2|-28.4091|28.4091|1240.8444019263384|1241.0794878741758|10603|10621|0.00045|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/NGC346-MPG-342/E140M/E140M10/oe4x18010_continuumfit.fits|1358.773|0.00041|12.46|0.176|15.0|8.035|-3.489|5.41|2|2|2|-25.0668|25.0668|1359.2201805580705|1359.4474050270492|21148|21164|0.0004|CuII|none|--|./modified_component_groups/input_group_5.VP
