specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1055.26170|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1055.52658|1055.90320|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1062.15170|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1062.41830|1062.79739|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1063.17640|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1063.44326|1063.82272|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1063.97180|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1064.23886|1064.61860|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1081.87480|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1082.14636|1082.53248|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1096.87690|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1097.15222|1097.54370|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1106.35960|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1106.63730|1107.03217|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1112.04800|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1112.32713|1112.72403|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1121.97480|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1122.25642|1122.65686|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1125.44770|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1125.73019|1126.13187|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1133.66540|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1133.94995|1134.35457|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1142.36560|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1142.65234|1143.06006|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1143.22600|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1143.51295|1143.92098|0.00042944|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SK183/G130M1096/G130M20/lf3r4c010_continuumfit.fits|1144.93790|0.00042944|14.4815|30.6412|0.0000|2|2|2|-53.4759|53.4759|1145.22528|1145.63392|0.00042944|FeII|none|
