specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1055.26170|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1055.55010|1055.93851|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1062.15170|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1062.44198|1062.83293|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1063.17640|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1063.46696|1063.85828|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1063.97180|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1064.26258|1064.65419|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1081.87480|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1082.17047|1082.56868|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1096.87690|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1097.17667|1097.58040|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1106.35960|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1106.66196|1107.06918|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1112.04800|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1112.35192|1112.76123|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1121.97480|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1122.28143|1122.69439|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1125.44770|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1125.75528|1126.16952|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1133.66540|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1133.97522|1134.39249|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1142.36560|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1142.67780|1143.09827|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1143.22600|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1143.53844|1143.95922|0.00045731|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 28/G130M_1096_LP2_4629.408_16103/le8p2d010/le8p2d010_continuumfit.fits|1144.93790|0.00045731|14.8500|37.3050|0.0000|2|2|2|-55.1471|55.1471|1145.25081|1145.67222|0.00045731|FeII|none|
