specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 50/G130M_1096_LP2_9965.762_16103/le8pcc010/le8pcc010_continuumfit.fits|1055.26170|-0.00001650|14.4712|28.4351|0.0000|2|2|2|-50.1337|50.1337|1055.06784|1055.42077|-0.00001650|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 50/G130M_1096_LP2_9965.762_16103/le8pcc010/le8pcc010_continuumfit.fits|1062.15170|-0.00001650|14.4712|28.4351|0.0000|2|2|2|-50.1337|50.1337|1061.95657|1062.31181|-0.00001650|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 50/G130M_1096_LP2_9965.762_16103/le8pcc010/le8pcc010_continuumfit.fits|1063.17640|-0.00001650|14.4712|28.4351|0.0000|2|2|2|-50.1337|50.1337|1062.98108|1063.33666|-0.00001650|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 50/G130M_1096_LP2_9965.762_16103/le8pcc010/le8pcc010_continuumfit.fits|1063.97180|-0.00001650|14.4712|28.4351|0.0000|2|2|2|-50.1337|50.1337|1063.77634|1064.13218|-0.00001650|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 50/G130M_1096_LP2_9965.762_16103/le8pcc010/le8pcc010_continuumfit.fits|1081.87480|-0.00001650|14.4712|28.4351|0.0000|2|2|2|-50.1337|50.1337|1081.67605|1082.03788|-0.00001650|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 50/G130M_1096_LP2_9965.762_16103/le8pcc010/le8pcc010_continuumfit.fits|1096.87690|-0.00001650|14.4712|28.4351|0.0000|2|2|2|-50.1337|50.1337|1096.67539|1097.04224|-0.00001650|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 50/G130M_1096_LP2_9965.762_16103/le8pcc010/le8pcc010_continuumfit.fits|1106.35960|-0.00001650|14.4712|28.4351|0.0000|2|2|2|-50.1337|50.1337|1106.15635|1106.52637|-0.00001650|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 50/G130M_1096_LP2_9965.762_16103/le8pcc010/le8pcc010_continuumfit.fits|1112.04800|-0.00001650|14.4712|28.4351|0.0000|2|2|2|-50.1337|50.1337|1111.84370|1112.21563|-0.00001650|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 50/G130M_1096_LP2_9965.762_16103/le8pcc010/le8pcc010_continuumfit.fits|1121.97480|-0.00001650|14.4712|28.4351|0.0000|2|2|2|-50.1337|50.1337|1121.76868|1122.14393|-0.00001650|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 50/G130M_1096_LP2_9965.762_16103/le8pcc010/le8pcc010_continuumfit.fits|1125.44770|-0.00001650|14.4712|28.4351|0.0000|2|2|2|-50.1337|50.1337|1125.24094|1125.61735|-0.00001650|FeII|none|
