specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1055.26170|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1055.50305|1055.87967|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1062.15170|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1062.39463|1062.77371|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1063.17640|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1063.41956|1063.79901|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1063.97180|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1064.21514|1064.59487|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1081.87480|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1082.12224|1082.50836|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1096.87690|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1097.12777|1097.51924|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1106.35960|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1106.61264|1107.00749|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1112.04800|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1112.30234|1112.69923|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1121.97480|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1122.23141|1122.63184|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1125.44770|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1125.70510|1126.10677|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1133.66540|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1133.92468|1134.32929|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1142.36560|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1142.62687|1143.03458|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1143.22600|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1143.48747|1143.89548|0.00040714|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G130M_1096_LP2_9959.808_16103/le8p4c010/le8p4c010_continuumfit.fits|1144.93790|0.00040714|14.7152|44.3302|0.0000|2|2|2|-53.4759|53.4759|1145.19976|1145.60839|0.00040714|FeII|none|
