specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G160M_1623_LP1_648.224_11625/lb2a05040/lb2a05040_continuumfit.fits|1454.84200|0.00040714|13.7229|24.7547|0.0000|2|2|2|-30.0802|30.0802|1455.28830|1455.58037|0.00040714|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G160M_1623_LP1_648.224_11625/lb2a05040/lb2a05040_continuumfit.fits|1467.25900|0.00040714|13.7229|24.7547|0.0000|2|2|2|-30.0802|30.0802|1467.70911|1468.00367|0.00040714|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G160M_1623_LP1_648.224_11625/lb2a05040/lb2a05040_continuumfit.fits|1467.75600|0.00040714|13.7229|24.7547|0.0000|2|2|2|-30.0802|30.0802|1468.20627|1468.50093|0.00040714|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G160M_1623_LP1_648.224_11625/lb2a05040/lb2a05040_continuumfit.fits|1703.41190|0.00040714|13.7229|24.7547|0.0000|2|2|2|-30.0802|30.0802|1703.93446|1704.27643|0.00040714|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G160M_1623_LP1_648.224_11625/lb2a05040/lb2a05040_continuumfit.fits|1709.60420|0.00040714|13.7229|24.7547|0.0000|2|2|2|-30.0802|30.0802|1710.12866|1710.47187|0.00040714|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G160M_1623_LP1_648.224_11625/lb2a05040/lb2a05040_continuumfit.fits|1741.55310|0.00040714|13.7229|24.7547|0.0000|2|2|2|-30.0802|30.0802|1742.08736|1742.43699|0.00040714|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G160M_1623_LP1_648.224_11625/lb2a05040/lb2a05040_continuumfit.fits|1751.91570|0.00040714|13.7229|24.7547|0.0000|2|2|2|-30.0802|30.0802|1752.45314|1752.80484|0.00040714|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G160M_1623_LP1_648.224_11625/lb2a05040/lb2a05040_continuumfit.fits|1772.28000|0.00040714|13.7229|24.7547|0.0000|2|2|2|-30.0802|30.0802|1772.82369|1773.17948|0.00040714|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G160M_1623_LP1_648.224_11625/lb2a05040/lb2a05040_continuumfit.fits|1773.94900|0.00040714|13.7229|24.7547|0.0000|2|2|2|-30.0802|30.0802|1774.49320|1774.84933|0.00040714|NiII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 51/G160M_1623_LP1_648.224_11625/lb2a05040/lb2a05040_continuumfit.fits|1783.31800|0.00040714|13.7229|24.7547|0.0000|2|2|2|-30.0802|30.0802|1783.86507|1784.22308|0.00040714|NiII|none|
