specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1250.578|3e-05|15.41|0.031|11.101|0.486|-0.935|0.337|2|2|2|-25.0668|25.0668|1250.5155413266891|1250.7246725958312|11571|11587|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1253.805|3e-05|15.41|0.0|11.101|0.0|-0.935|0.0|2|2|2|-25.0668|25.0668|1253.7423801579025|1253.952051070798|11812|11828|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1250.578|0.0005|15.602|0.018|21.52|0.602|-8.929|0.443|2|2|2|-38.4358|38.4358|1251.045343464112|1251.3660117438483|11611|11635|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1253.805|0.0005|15.602|0.0|21.52|0.0|-8.929|0.0|2|2|2|-38.4358|38.4358|1254.2735494003741|1254.5950451347262|11852|11876|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1317.217|0.00049|13.469|0.058|17.68|3.116|2.455|2.112|2|2|2|-38.4358|38.4358|1317.6945596202406|1318.0323152095993|17724|17748|0.0005|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1370.132|0.00049|13.469|0.0|17.68|0.0|2.455|0.0|2|2|2|-38.4358|38.4358|1370.6287440578124|1370.9800679028276|22099|22123|0.0005|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1454.842|0.00049|13.469|0.0|17.68|0.0|2.455|0.0|2|2|2|-38.4358|38.4358|1455.369455835318|1455.7425006845222|28504|28528|0.0005|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1608.4511|0.00047|15.218|0.081|15.0|0.695|3.131|0.584|2|2|2|-25.0668|25.0668|1609.0701062219596|1609.3390837826526|38472|38488|0.00048|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1611.2005|0.00047|15.218|0.0|15.0|0.0|3.131|0.0|2|2|2|-25.0668|25.0668|1611.820564317979|1612.0900016544808|38632|38648|0.00048|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1239.9253|0.00046|15.877|0.054|19.32|3.108|-4.958|2.128|2|2|2|-26.738|26.738|1240.3886621084484|1240.609835935786|10577|10594|0.00045|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1240.3947|0.00046|15.877|0.0|19.32|0.0|-4.958|0.0|2|2|2|-26.738|26.738|1240.8582375239946|1241.0794950813718|10612|10629|0.00045|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 ELS 7/E140M_1425_0.2x0.2_5400.000_7437/o4wr01020/o4wr01020_continuumfit.fits|1358.773|0.00057|12.339|0.216|9.222|7.676|3.112|4.675|2|2|2|-20.0535|20.0535|1359.4625483884759|1359.644328507544|21173|21185|0.00058|CuII|none|--|./modified_component_groups/input_group_5.VP
