specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1239.9253|0.00044|15.543|0.046|17.972|4.259|3.516|2.421|2|2|2|-36.7647|36.7647|1240.3195418884297|1240.6236554874245|11658|11688|0.00045|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1240.3947|0.00044|15.543|0.0|17.972|0.0|3.516|0.0|2|2|2|-36.7647|36.7647|1240.7890911370516|1241.0933198646942|11705|11735|0.00045|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1250.578|3e-05|15.194|0.028|12.116|0.809|-2.356|0.43|2|2|2|-30.0802|30.0802|1250.4876498076756|1250.7386076643645|12678|12703|2e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1253.805|3e-05|15.194|0.0|12.116|0.0|-2.356|0.0|2|2|2|-30.0802|30.0802|1253.7144166674232|1253.9660220974772|13002|13027|2e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1250.578|0.00044|15.395|0.008|27.73|0.639|4.804|0.424|2|2|2|-53.4759|53.4759|1250.9059185569795|1251.3520657650604|12720|12765|0.00046|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1253.805|0.00044|15.395|0.0|27.73|0.0|4.804|0.0|2|2|2|-53.4759|53.4759|1254.1337647202604|1254.5810631696397|13044|13089|0.00046|S II|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1142.3656|0.00045|14.954|0.015|35.0|1.774|-0.553|1.169|2|2|2|-61.8316|61.8316|1142.6396671963082|1143.1108884758842|1858|1905|0.00044|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1143.226|0.00045|14.954|0.0|35.0|0.0|-0.553|0.0|2|2|2|-61.8316|61.8316|1143.5002736165784|1143.971849807742|1945|1992|0.00044|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1152.818|0.00044|13.462|0.026|22.55|2.7|1.583|1.556|2|2|2|-36.7647|36.7647|1153.1845455857185|1153.4672945795214|2916|2944|0.00045|P II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1317.217|0.00047|13.695|0.029|26.53|2.959|0.922|1.831|2|2|2|-41.7781|41.7781|1317.650500407173|1318.017626544467|20424|20461|0.00047|NiII|none|--|./modified_component_groups/input_group_5.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1370.132|0.00047|13.695|0.0|26.53|0.0|0.922|0.0|2|2|2|-41.7781|41.7781|1370.5829149061096|1370.9647891673305|25734|25773|0.00047|NiII|none|--|./modified_component_groups/input_group_5.VP
