specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1133.66540|-0.00002207|14.0972|17.5493|0.0000|2|2|2|-35.0936|35.0936|1133.50768|1133.77309|-0.00002207|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1142.36560|-0.00002207|14.0972|17.5493|0.0000|2|2|2|-35.0936|35.0936|1142.20667|1142.47411|-0.00002207|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1143.22600|-0.00002207|14.0972|17.5493|0.0000|2|2|2|-35.0936|35.0936|1143.06695|1143.33459|-0.00002207|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1144.93790|-0.00002207|14.0972|17.5493|0.0000|2|2|2|-35.0936|35.0936|1144.77861|1145.04666|-0.00002207|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1260.53300|-0.00002207|14.0972|17.5493|0.0000|2|2|2|-35.0936|35.0936|1260.35763|1260.65274|-0.00002207|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1133.66540|0.00044059|14.7220|44.3418|0.0000|3|3|3|-70.1872|70.1872|1133.89938|1134.43044|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1142.36560|0.00044059|14.7220|44.3418|0.0000|3|3|3|-70.1872|70.1872|1142.60138|1143.13651|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1143.22600|0.00044059|14.7220|44.3418|0.0000|3|3|3|-70.1872|70.1872|1143.46196|1143.99749|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1144.93790|0.00044059|14.7220|44.3418|0.0000|3|3|3|-70.1872|70.1872|1145.17421|1145.71055|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 MPG 782/G130M_1291_LP5_959.456_16371/lek63c010/lek63c010_continuumfit.fits|1260.53300|0.00044059|14.7220|44.3418|0.0000|3|3|3|-70.1872|70.1872|1260.79317|1261.38366|0.00044059|FeII|none|
