specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1250.578|6e-05|15.498|0.057|10.646|0.684|-7.454|0.447|2|2|2|-31.7513|31.7513|1250.5155449634403|1250.7804447378796|11573|11592|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1253.805|6e-05|15.498|0.0|10.646|0.0|-7.454|0.0|2|2|2|-31.7513|31.7513|1253.7423838040381|1254.007967127662|11813|11833|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1250.578|0.00049|15.791|0.035|21.63|0.84|-2.381|0.569|2|2|2|-40.107|40.107|1251.0174499181487|1251.3520609499315|11610|11635|0.00048|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1253.805|0.00049|15.791|0.0|21.63|0.0|-2.381|0.0|2|2|2|-40.107|40.107|1254.2455838777146|1254.5810583420857|11851|11876|0.00048|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1317.217|0.0005|13.582|0.058|16.99|3.003|-4.107|2.013|2|2|2|-28.4091|28.4091|1317.7533015329404|1318.002947236|17729|17747|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1370.132|0.0005|13.582|0.0|16.99|0.0|-4.107|0.0|2|2|2|-28.4091|28.4091|1370.6898457398672|1370.949520164373|22104|22122|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1454.842|0.0005|13.582|0.0|16.99|0.0|-4.107|0.0|2|2|2|-28.4091|28.4091|1455.4343351997327|1455.7100642967077|28509|28527|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1608.4511|0.00051|15.17|0.116|19.22|1.356|-10.893|0.918|2|2|2|-33.4225|33.4225|1609.0880378539114|1609.4466756745446|38474|38495|0.00047|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1611.2005|0.00051|15.17|0.0|19.22|0.0|-10.893|0.0|2|2|2|-33.4225|33.4225|1611.8385266013004|1612.1977774581794|38634|38655|0.00047|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1239.9253|0.0005|15.922|0.064|20.95|3.988|-6.159|2.656|2|2|2|-26.738|26.738|1240.4301252104804|1240.6512990378178|10581|10598|0.00048|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1240.3947|0.0005|15.922|0.0|20.95|0.0|-6.159|0.0|2|2|2|-26.738|26.738|1240.8997163227625|1241.1209738801397|10616|10633|0.00048|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 17/E140M_1425_0.2x0.2_9360.000_7437/o4wr23010/o4wr23010_continuumfit.fits|1358.773|0.0004|12.265|0.267|4.0|5.975|-7.204|3.56|2|2|2|-18.3824|18.3824|1359.235326472394|1359.4019584748257|21158|21170|0.00038|CuII|none|--|./modified_component_groups/input_group_5.VP
