specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1055.26170|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1055.10312|1055.39724|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1062.15170|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1061.99209|1062.28812|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1063.17640|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1063.01664|1063.31295|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1063.97180|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1063.81192|1064.10846|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1081.87480|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1081.71223|1082.01376|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1096.87690|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1096.71207|1097.01778|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1106.35960|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1106.19335|1106.50170|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1112.04800|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1111.88089|1112.19083|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1121.97480|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1121.80620|1122.11891|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1125.44770|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1125.27858|1125.59225|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1133.66540|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1133.49504|1133.81101|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1142.36560|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1142.19394|1142.51232|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1143.22600|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1143.05421|1143.37284|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1144.93790|-0.00001093|14.4778|25.6388|0.0000|2|2|2|-41.7781|41.7781|1144.76585|1145.08496|-0.00001093|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1055.26170|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1055.52657|1055.92674|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1062.15170|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1062.41830|1062.82109|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1063.17640|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1063.44326|1063.84643|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1063.97180|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1064.23886|1064.64233|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1081.87480|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1082.14635|1082.55662|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1096.87690|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1097.15222|1097.56817|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1106.35960|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1106.63730|1107.05685|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1112.04800|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1112.32712|1112.74883|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1121.97480|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1122.25642|1122.68189|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1125.44770|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1125.73019|1126.15698|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1133.66540|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1133.94995|1134.37985|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1142.36560|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1142.65233|1143.08554|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1143.22600|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1143.51295|1143.94648|0.00044059|FeII|none|
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 NMC 28/G130M_1096_LP2_4394.784_16013/le8p5c010/le8p5c010_continuumfit.fits|1144.93790|0.00044059|14.7455|36.2303|0.0000|3|3|3|-56.8182|56.8182|1145.22528|1145.65946|0.00044059|FeII|none|
