specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 25/E140M_1425_0.2x0.2_2707.000_15837/oe4x04010/oe4x04010_continuumfit.fits|1250.578|0.00047|15.824|0.052|20.87|1.066|2.889|0.698|2|2|2|-36.7647|36.7647|1251.017460814127|1251.3241871761131|11601|11624|0.00048|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 25/E140M_1425_0.2x0.2_2707.000_15837/oe4x04010/oe4x04010_continuumfit.fits|1253.805|0.00047|15.824|0.0|20.87|0.0|2.889|0.0|2|2|2|-36.7647|36.7647|1254.245594801809|1254.5531126425913|11842|11865|0.00048|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 25/E140M_1425_0.2x0.2_2707.000_15837/oe4x04010/oe4x04010_continuumfit.fits|1317.217|0.00053|13.514|0.083|15.0|3.907|-6.31|2.632|2|2|2|-33.4225|33.4225|1317.7679846794672|1318.0616857650527|17721|17742|0.00051|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 25/E140M_1425_0.2x0.2_2707.000_15837/oe4x04010/oe4x04010_continuumfit.fits|1370.132|0.00053|13.514|0.0|15.0|0.0|-6.31|0.0|2|2|2|-33.4225|33.4225|1370.7051187350662|1371.0106183268535|22096|22117|0.00051|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 25/E140M_1425_0.2x0.2_2707.000_15837/oe4x04010/oe4x04010_continuumfit.fits|1454.842|0.00053|13.514|0.0|15.0|0.0|-6.31|0.0|2|2|2|-33.4225|33.4225|1455.4505524655735|1455.7749399239462|28501|28522|0.00051|NiII|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 25/E140M_1425_0.2x0.2_2707.000_15837/oe4x04010/oe4x04010_continuumfit.fits|1358.773|0.00054|12.644|0.164|4.0|3.588|17.699|2.121|2|2|2|-21.7246|21.7246|1359.4019550076976|1359.5988832434025|21161|21174|0.00059|CuII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 25/E140M_1425_0.2x0.2_2707.000_15837/oe4x04010/oe4x04010_continuumfit.fits|1608.4511|0.00048|15.189|0.148|17.6|1.617|1.703|1.199|2|2|2|-28.4091|28.4091|1609.0701082924322|1609.3749501717098|38464|38482|0.00049|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 25/E140M_1425_0.2x0.2_2707.000_15837/oe4x04010/oe4x04010_continuumfit.fits|1611.2005|0.00048|15.189|0.0|17.6|0.0|1.703|0.0|2|2|2|-28.4091|28.4091|1611.820566391991|1612.1259293516189|38624|38642|0.00049|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 25/E140M_1425_0.2x0.2_2707.000_15837/oe4x04010/oe4x04010_continuumfit.fits|1250.578|2e-05|15.384|0.056|10.947|0.897|5.223|0.634|2|2|2|-23.3957|23.3957|1250.5016026214041|1250.6967919727958|11562|11577|3e-05|S II|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 25/E140M_1425_0.2x0.2_2707.000_15837/oe4x04010/oe4x04010_continuumfit.fits|1253.805|2e-05|15.384|0.0|10.947|0.0|5.223|0.0|2|2|2|-23.3957|23.3957|1253.7284054850875|1253.9240985044128|11803|11818|3e-05|S II|none|--|./modified_component_groups/input_group_1.VP
