specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 7/E140M_1425_0.2x0.2_2210.200_16805/oeuaas010/oeuaas010_continuumfit.fits|1250.578|4e-05|15.414|0.021|11.172|0.33|-1.055|0.23|2|2|2|-26.738|26.738|1250.515535670126|1250.7386096913142|11563|11580|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 7/E140M_1425_0.2x0.2_2210.200_16805/oeuaas010/oeuaas010_continuumfit.fits|1253.805|4e-05|15.414|0.0|11.172|0.0|-1.055|0.0|2|2|2|-26.738|26.738|1253.742374486743|1253.966024129657|11804|11821|4e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 7/E140M_1425_0.2x0.2_2210.200_16805/oeuaas010/oeuaas010_continuumfit.fits|1250.578|0.00051|15.511|0.01|25.803|0.498|-12.891|0.376|2|2|2|-38.4358|38.4358|1251.059287408812|1251.379955688548|11604|11628|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 7/E140M_1425_0.2x0.2_2210.200_16805/oeuaas010/oeuaas010_continuumfit.fits|1253.805|0.00051|15.511|0.0|25.803|0.0|-12.891|0.0|2|2|2|-38.4358|38.4358|1254.287529326124|1254.6090250604761|11845|11869|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 7/E140M_1425_0.2x0.2_2210.200_16805/oeuaas010/oeuaas010_continuumfit.fits|1317.217|0.0005|13.129|0.072|10.393|2.695|-2.165|1.699|2|2|2|-40.107|40.107|1317.6945536622586|1318.0469949649616|17716|17741|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 7/E140M_1425_0.2x0.2_2210.200_16805/oeuaas010/oeuaas010_continuumfit.fits|1370.132|0.0005|13.129|0.0|10.393|0.0|-2.165|0.0|2|2|2|-40.107|40.107|1370.6287378604875|1370.9953373706328|22091|22116|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 7/E140M_1425_0.2x0.2_2210.200_16805/oeuaas010/oeuaas010_continuumfit.fits|1454.842|0.0005|13.129|0.0|10.393|0.0|-2.165|0.0|2|2|2|-40.107|40.107|1455.3694492548364|1455.758714204884|28496|28521|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 7/E140M_1425_0.2x0.2_2210.200_16805/oeuaas010/oeuaas010_continuumfit.fits|1608.4511|0.00049|14.876|0.023|29.11|0.881|-7.023|0.65|2|2|2|-33.4225|33.4225|1609.0521693943815|1609.4108072150148|38463|38484|0.00046|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 7/E140M_1425_0.2x0.2_2210.200_16805/oeuaas010/oeuaas010_continuumfit.fits|1611.2005|0.00049|14.876|0.0|29.11|0.0|-7.023|0.0|2|2|2|-33.4225|33.4225|1611.8025968301504|1612.1618476870296|38623|38644|0.00046|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 7/E140M_1425_0.2x0.2_2210.200_16805/oeuaas010/oeuaas010_continuumfit.fits|1239.9253|0.00049|15.748|0.056|23.713|3.83|-11.155|2.617|2|2|2|-36.7647|36.7647|1240.374830157557|1240.6789437565515|10568|10591|0.00045|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 SSN 7/E140M_1425_0.2x0.2_2210.200_16805/oeuaas010/oeuaas010_continuumfit.fits|1240.3947|0.00049|15.748|0.0|23.713|0.0|-11.155|0.0|2|2|2|-36.7647|36.7647|1240.844400336725|1241.1486290643675|10603|10626|0.00045|MgII|none|--|./modified_component_groups/input_group_1.VP
