specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2567.200_16098/oe9e2s020/oe9e2s020_continuumfit.fits|1250.578|3e-05|15.379|0.027|11.057|0.415|-0.517|0.293|2|2|2|-20.0535|20.0535|1250.5294759780743|1250.6967814939658|11568|11581|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2567.200_16098/oe9e2s020/oe9e2s020_continuumfit.fits|1253.805|3e-05|15.379|0.0|11.057|0.0|-0.517|0.0|2|2|2|-20.0535|20.0535|1253.7563507663574|1253.924087998543|11809|11821|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2567.200_16098/oe9e2s020/oe9e2s020_continuumfit.fits|1250.578|0.0005|15.527|0.015|20.32|0.504|-6.909|0.362|2|2|2|-33.4225|33.4225|1251.0592781154974|1251.3381206419826|11608|11628|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2567.200_16098/oe9e2s020/oe9e2s020_continuumfit.fits|1253.805|0.0005|15.527|0.0|20.32|0.0|-6.909|0.0|2|2|2|-33.4225|33.4225|1254.287520008829|1254.5670820624712|11849|11870|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2567.200_16098/oe9e2s020/oe9e2s020_continuumfit.fits|1317.217|0.00047|13.162|0.088|9.682|3.175|4.983|1.971|2|2|2|-40.107|40.107|1317.6651928953288|1318.0176341980316|17718|17743|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2567.200_16098/oe9e2s020/oe9e2s020_continuumfit.fits|1370.132|0.00047|13.162|0.0|9.682|0.0|4.983|0.0|2|2|2|-40.107|40.107|1370.5981976182075|1370.9647971283528|22092|22117|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2567.200_16098/oe9e2s020/oe9e2s020_continuumfit.fits|1454.842|0.00047|13.162|0.0|9.682|0.0|4.983|0.0|2|2|2|-40.107|40.107|1455.3370208266563|1455.7262857767041|28497|28522|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2567.200_16098/oe9e2s020/oe9e2s020_continuumfit.fits|1608.4511|0.00049|15.391|0.054|15.28|0.448|-2.48|0.482|2|2|2|-41.7781|41.7781|1609.0163149580703|1609.4646119656015|38465|38491|0.00048|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2567.200_16098/oe9e2s020/oe9e2s020_continuumfit.fits|1611.2005|0.00049|15.391|0.0|15.28|0.0|-2.48|0.0|2|2|2|-41.7781|41.7781|1611.7666811061897|1612.21574440857|38625|38651|0.00048|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2567.200_16098/oe9e2s020/oe9e2s020_continuumfit.fits|1239.9253|0.00046|15.913|0.041|20.96|2.491|-6.27|1.708|2|2|2|-26.738|26.738|1240.3886621084484|1240.609835935786|10572|10589|0.00044|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2567.200_16098/oe9e2s020/oe9e2s020_continuumfit.fits|1240.3947|0.00046|15.913|0.0|20.96|0.0|-6.27|0.0|2|2|2|-26.738|26.738|1240.8582375239946|1241.0794950813718|10608|10624|0.00044|MgII|none|--|./modified_component_groups/input_group_1.VP
