specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2700.000_7437/o4wr01010/o4wr01010_continuumfit.fits|1250.578|3e-05|15.403|0.029|9.868|0.37|2.061|0.251|2|2|2|-20.0535|20.0535|1250.5294759780743|1250.6967814939658|11573|11585|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2700.000_7437/o4wr01010/o4wr01010_continuumfit.fits|1253.805|3e-05|15.403|0.0|9.868|0.0|2.061|0.0|2|2|2|-20.0535|20.0535|1253.7563507663574|1253.924087998543|11813|11826|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2700.000_7437/o4wr01010/o4wr01010_continuumfit.fits|1250.578|0.0005|15.561|0.015|20.36|0.479|-9.957|0.34|2|2|2|-30.0802|30.0802|1251.0732204503954|1251.3241783070846|11613|11632|0.00046|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2700.000_7437/o4wr01010/o4wr01010_continuumfit.fits|1253.805|0.0005|15.561|0.0|20.36|0.0|-9.957|0.0|2|2|2|-30.0802|30.0802|1254.301498320623|1254.553103750677|11854|11873|0.00046|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2700.000_7437/o4wr01010/o4wr01010_continuumfit.fits|1317.217|0.00046|13.372|0.054|10.94|2.048|4.71|1.325|2|2|2|-36.7647|36.7647|1317.6651911997462|1317.9882619545142|17722|17745|0.00048|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2700.000_7437/o4wr01010/o4wr01010_continuumfit.fits|1370.132|0.00046|13.372|0.0|10.94|0.0|4.71|0.0|2|2|2|-36.7647|36.7647|1370.5981958545105|1370.93424494845|22097|22120|0.00048|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2700.000_7437/o4wr01010/o4wr01010_continuumfit.fits|1454.842|0.00046|13.372|0.0|10.94|0.0|4.71|0.0|2|2|2|-36.7647|36.7647|1455.3370189539166|1455.6938446728439|28502|28525|0.00048|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2700.000_7437/o4wr01010/o4wr01010_continuumfit.fits|1608.4511|0.00045|15.097|0.058|20.81|0.831|7.125|0.525|2|2|2|-31.7513|31.7513|1608.9983739803663|1609.3390791051859|38468|38488|0.00047|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2700.000_7437/o4wr01010/o4wr01010_continuumfit.fits|1611.2005|0.00045|15.097|0.0|20.81|0.0|7.125|0.0|2|2|2|-31.7513|31.7513|1611.7487094611413|1612.0899969690188|38628|38648|0.00047|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2700.000_7437/o4wr01010/o4wr01010_continuumfit.fits|1239.9253|0.00045|15.929|0.035|20.18|2.066|-7.956|1.435|2|2|2|-36.7647|36.7647|1240.3333670555246|1240.6374806545193|10573|10596|0.00043|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 3/E140M_1425_0.2x0.2_2700.000_7437/o4wr01010/o4wr01010_continuumfit.fits|1240.3947|0.00045|15.929|0.0|20.18|0.0|-7.956|0.0|2|2|2|-36.7647|36.7647|1240.8029215379568|1241.1071502655993|10608|10631|0.00043|MgII|none|--|./modified_component_groups/input_group_1.VP
