specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 4/E140M_1425_0.2x0.2_2707.000_15837/oe4x18010/oe4x18010_continuumfit.fits|1250.578|3e-05|15.544|0.054|9.717|0.493|-1.534|0.299|2|2|2|-31.7513|31.7513|1250.4876570740405|1250.7525568484798|11561|11581|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 4/E140M_1425_0.2x0.2_2707.000_15837/oe4x18010/oe4x18010_continuumfit.fits|1253.805|3e-05|15.544|0.0|9.717|0.0|-1.534|0.0|2|2|2|-31.7513|31.7513|1253.7144239525383|1253.980007276162|11802|11822|3e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 4/E140M_1425_0.2x0.2_2707.000_15837/oe4x18010/oe4x18010_continuumfit.fits|1250.578|0.00046|15.68|0.026|18.7|0.578|0.961|0.403|2|2|2|-40.107|40.107|1250.9895745345289|1251.3241855663114|11599|11624|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 4/E140M_1425_0.2x0.2_2707.000_15837/oe4x18010/oe4x18010_continuumfit.fits|1253.805|0.00046|15.68|0.0|18.7|0.0|0.961|0.0|2|2|2|-40.107|40.107|1254.2176365642647|1254.5531110286358|11840|11865|0.00047|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 4/E140M_1425_0.2x0.2_2707.000_15837/oe4x18010/oe4x18010_continuumfit.fits|1317.217|0.00048|13.555|0.042|12.316|1.731|3.365|1.125|2|2|2|-28.4091|28.4091|1317.7239275938402|1317.9735732968998|17718|17736|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 4/E140M_1425_0.2x0.2_2707.000_15837/oe4x18010/oe4x18010_continuumfit.fits|1370.132|0.00048|13.555|0.0|12.316|0.0|3.365|0.0|2|2|2|-28.4091|28.4091|1370.659291796267|1370.918966220773|22093|22111|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 4/E140M_1425_0.2x0.2_2707.000_15837/oe4x18010/oe4x18010_continuumfit.fits|1454.842|0.00048|13.555|0.0|12.316|0.0|3.365|0.0|2|2|2|-28.4091|28.4091|1455.4018922231323|1455.6776213201076|28498|28516|0.00049|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 4/E140M_1425_0.2x0.2_2707.000_15837/oe4x18010/oe4x18010_continuumfit.fits|1608.4511|0.00045|15.113|0.085|23.94|1.447|-2.042|0.907|2|2|2|-25.0668|25.0668|1609.0342377624295|1609.3032153231227|38462|38478|0.00044|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 4/E140M_1425_0.2x0.2_2707.000_15837/oe4x18010/oe4x18010_continuumfit.fits|1611.2005|0.00045|15.113|0.0|23.94|0.0|-2.042|0.0|2|2|2|-25.0668|25.0668|1611.7846345468292|1612.054071883331|38622|38638|0.00044|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 4/E140M_1425_0.2x0.2_2707.000_15837/oe4x18010/oe4x18010_continuumfit.fits|1239.9253|0.00046|15.711|0.075|17.99|4.106|1.997|2.761|2|2|2|-25.0668|25.0668|1240.3886553175746|1240.5960051603117|10569|10584|0.00046|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/SMC/SMC N66A/Cl* NGC 346 W 4/E140M_1425_0.2x0.2_2707.000_15837/oe4x18010/oe4x18010_continuumfit.fits|1240.3947|0.00046|15.711|0.0|17.99|0.0|1.997|0.0|2|2|2|-25.0668|25.0668|1240.8582307305498|1241.0656590699643|10604|10620|0.00046|MgII|none|--|./modified_component_groups/input_group_1.VP
